arm,direction,label,model,layer,mode,alpha,asr,delta_asr,pct_degenerate,n
success,harm_v2,Harm,Qwen2.5-7B-Instruct,21,add,0.75,0.2,-99.8,14.4,508
success,harm_v2,Harm,Gemma-2-9B-it,19,add,0.5,0.6,-99.4,0.0,542
success,persona_v2,Persona,Qwen2.5-7B-Instruct,15,add,-0.5,1.6,-98.4,0.4,508
success,persona_v2,Persona,Gemma-2-9B-it,15,add,-1.0,0.4,-99.6,0.2,542
success,story_v2_1k,Story,Qwen2.5-7B-Instruct,18,add,-0.75,49.2,-50.8,2.4,508
success,story_v2_1k,Story,Gemma-2-9B-it,15,add,-1.5,26.6,-73.4,6.5,542
success,eval_v2,Eval,Qwen2.5-7B-Instruct,9,add,0.5,82.3,-17.7,1.2,508
success,eval_v2,Eval,Gemma-2-9B-it,8,add,2.0,55.9,-44.1,4.1,542
refusal,harm_v2,Harm,Qwen2.5-7B-Instruct,21,add,-0.5,64.9,64.9,8.3,433
refusal,harm_v2,Harm,Gemma-2-9B-it,19,add,-0.5,41.8,41.8,2.6,423
refusal,persona_v2,Persona,Qwen2.5-7B-Instruct,15,add,0.25,62.8,62.8,12.5,433
refusal,persona_v2,Persona,Gemma-2-9B-it,15,add,0.75,51.1,51.1,5.0,423
refusal,story_v2_1k,Story,Qwen2.5-7B-Instruct,18,add,0.25,14.1,14.1,5.1,433
refusal,story_v2_1k,Story,Gemma-2-9B-it,15,add,0.5,29.3,29.3,3.8,423
refusal,eval_v2,Eval,Qwen2.5-7B-Instruct,9,add,-1.25,48.7,48.7,9.9,433
refusal,eval_v2,Eval,Gemma-2-9B-it,8,add,-1.0,15.1,15.1,2.6,423
