probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,eval_v2,18,0.6429,0.5822499999999999,0.22494784446192267,1.0000000000000002,diag_heldout,0.945,189,0,200,0.945,1.2364388697672466,1.2364388697672466,,0.36275,1.011491025305324,0.9586666666666669,0.99,1.3131657087226236,0.36962,,,
eval_v2,harm_v2,18,0.6429,0.6439999999999999,0.41475465037829584,-0.09960940264158162,offdiag_pooled,0.311,311,0,1000,0.6890000000000001,-0.5701962984011644,0.5701962984011644,0.75,0.04500000000000015,0.15544164802286853,0.5237333333333334,0.816,0.03287681727083813,0.010716666666666663,,,
eval_v2,persona_v2,18,0.6429,0.6486000000000001,0.40127642914520856,0.34693055584625404,offdiag_pooled,0.985,985,0,1000,0.985,1.7339686384154571,1.7339686384154571,,0.3363999999999999,1.3326922092702485,0.9522,0.992,1.5570469847019939,0.28505333333333327,,,
eval_v2,story_v2_1k,18,0.6429,0.76215,0.8228785871431572,-0.031548296774595704,offdiag_pooled,0.26,260,0,1000,0.74,-0.6420273629637482,0.6420273629637482,,-0.022150000000000003,-0.18085122417940902,0.3713333333333333,0.812,-0.3377622429936183,-0.055419999999999955,,,
harm_v2,eval_v2,18,0.6429,0.5822499999999999,0.22494784446192267,-0.09960940264158162,offdiag_pooled,0.436,436,0,1000,0.5640000000000001,-0.15566941869622816,0.15566941869622816,0.6,-0.018249999999999877,-0.06927842576569451,0.4914666666666667,0.615,-0.036007918119422604,-0.033313333333333306,,,
harm_v2,harm_v2,18,0.6429,0.6439999999999999,0.41475465037829584,1.0,diag_heldout,0.99,198,0,200,0.99,1.0892908522868918,1.0892908522868918,,0.3460000000000001,0.674536201908596,0.9736666666666666,0.995,1.218357165735709,0.3145166666666666,,,
harm_v2,persona_v2,18,0.6429,0.6486000000000001,0.40127642914520856,-0.32797159819490285,offdiag_pooled,0.31,310,0,1000,0.69,-0.6269365603797606,0.6269365603797606,0.75,0.04139999999999988,0.22566013123455209,0.5163333333333333,0.96,0.08114936554251176,0.00398666666666665,,,
harm_v2,story_v2_1k,18,0.6429,0.76215,0.8228785871431572,-0.017167808137600236,offdiag_pooled,0.434,434,0,1000,0.5660000000000001,-0.23892181826817402,0.23892181826817402,0.6,-0.19614999999999994,-0.5839567688749832,0.7228666666666667,0.923,0.6289534145396846,0.018113333333333353,,,
persona_v2,eval_v2,18,0.6429,0.5822499999999999,0.22494784446192267,0.34693055584625404,offdiag_pooled,0.774,774,0,1000,0.774,0.7018215518226278,0.7018215518226278,,0.1917500000000001,0.47687370736070517,0.7622,0.844,0.6737899847841385,0.17315333333333338,,,
persona_v2,harm_v2,18,0.6429,0.6439999999999999,0.41475465037829584,-0.32797159819490285,offdiag_pooled,0.167,167,0,1000,0.833,-0.8432399456311936,0.8432399456311936,,0.18900000000000006,0.4284852952528978,0.4064666666666667,0.833,-0.2782353533637325,0.033316666666666626,,,
persona_v2,persona_v2,18,0.6429,0.6486000000000001,0.40127642914520856,1.0000000000000002,diag_heldout,1.0,200,0,200,1.0,1.9950923160296994,1.9950923160296994,,0.35139999999999993,1.593815886884491,0.9993333333333333,1.0,2.0837116601717,0.3321866666666667,,,
persona_v2,story_v2_1k,18,0.6429,0.76215,0.8228785871431572,0.1768043545491715,offdiag_pooled,0.963,963,0,1000,0.963,1.835489924679726,1.835489924679726,,0.20084999999999997,1.0126113375365688,0.8658,0.988,1.4281509717951688,0.1470466666666667,,,
random_20260731,eval_v2,18,0.6429,,,,null_pooled,0.47895000000000004,,,1000,0.5822499999999999,-0.07174111890833602,0.22494784446192267,,,,0.4871999999999999,0.6006499999999999,-0.03315019979674178,nan,0.1075734632704553,20,0.2875252366065979
random_20260731,harm_v2,18,0.6429,,,,null_pooled,0.46469999999999995,,,1000,0.6439999999999999,-0.09189024894381076,0.41475465037829584,,,,0.5116766666666666,0.73445,0.030952496563840744,nan,0.17572559349885922,20,0.5129621624946594
random_20260731,persona_v2,18,0.6429,,,,null_pooled,0.506,,,1000,0.6486000000000001,0.02953495848709688,0.40127642914520856,,,,0.4832066666666667,0.71755,-0.04224195544465541,nan,0.18977992794980078,20,0.5283176302909851
random_20260731,story_v2_1k,18,0.6429,,,,null_pooled,0.49575,,,1000,0.76215,-0.03229494127665839,0.8228785871431572,,,,0.52082,0.76215,0.062392274315560575,nan,0.3135720978121551,20,0.6783576011657715
story_v2_1k,eval_v2,18,0.6429,0.5822499999999999,0.22494784446192267,-0.031548296774595704,offdiag_pooled,0.394,394,0,1000,0.606,-0.17730599783768924,0.17730599783768924,0.65,0.02375000000000005,-0.04764184662423343,0.41593333333333327,0.688,-0.17295669060347565,8.666666666668673e-05,,,
story_v2_1k,harm_v2,18,0.6429,0.6439999999999999,0.41475465037829584,-0.017167808137600236,offdiag_pooled,0.448,448,0,1000,0.552,-0.11587901734663206,0.11587901734663206,0.6,-0.09199999999999986,-0.29887563303166376,0.6457333333333332,0.783,0.35010110322051907,-0.000750000000000021,,,
story_v2_1k,persona_v2,18,0.6429,0.6486000000000001,0.40127642914520856,0.1768043545491715,offdiag_pooled,0.806,806,0,1000,0.806,0.8272752399639388,0.8272752399639388,,0.15739999999999998,0.42599881081873026,0.7377333333333334,0.869,0.6430075168139214,0.07058666666666667,,,
