probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,eval_v2,0,0.0,0.5,nan,0.0,diag_heldout,0.5,0,200,200,0.5,nan,nan,,0.0,nan,,,
eval_v2,eval_v2,1,0.0357,0.5913,0.20684840092853363,0.9999999999999999,diag_heldout,0.95,190,0,200,0.95,1.729049221604248,1.729049221604248,,0.3586999999999999,1.5222008206757143,,,
eval_v2,eval_v2,2,0.0714,0.58785,0.20193202255318182,0.9999999999999999,diag_heldout,0.99,198,0,200,0.99,2.105165274578163,2.105165274578163,,0.40215,1.903233252024981,,,
eval_v2,eval_v2,3,0.1071,0.5904,0.19927945332950125,1.0000000000000002,diag_heldout,0.93,186,0,200,0.93,1.7002704850636965,1.7002704850636965,,0.3396,1.5009910317341952,,,
eval_v2,eval_v2,4,0.1429,0.5846,0.2138048006273967,1.0,diag_heldout,0.93,186,0,200,0.93,1.5382454254149291,1.5382454254149291,,0.34540000000000004,1.3244406247875324,,,
eval_v2,eval_v2,5,0.1786,0.5679500000000001,0.1877099999510436,1.0000000000000002,diag_heldout,0.93,186,0,200,0.93,1.3415657401826082,1.3415657401826082,,0.36205,1.1538557402315646,,,
eval_v2,eval_v2,6,0.2143,0.5927,0.2264949886415275,1.0000000000000002,diag_heldout,0.835,167,0,200,0.835,1.040318825204628,1.040318825204628,,0.24229999999999996,0.8138238365631005,,,
eval_v2,eval_v2,7,0.25,0.6086500000000001,0.27768166606612243,1.0,diag_heldout,0.9,180,0,200,0.9,1.3866359676152575,1.3866359676152575,,0.2913499999999999,1.1089543015491352,,,
eval_v2,eval_v2,8,0.2857,0.6030500000000001,0.2701145806651062,1.0,diag_heldout,0.935,187,0,200,0.935,1.6663172285814527,1.6663172285814527,,0.33194999999999997,1.3962026479163465,,,
eval_v2,eval_v2,9,0.3214,0.5942999999999999,0.22811579993433034,1.0,diag_heldout,0.95,190,0,200,0.95,1.5510318608332192,1.5510318608332192,,0.3557,1.3229160608988888,,,
eval_v2,eval_v2,10,0.3571,0.61345,0.2896731914108592,1.0,diag_heldout,0.98,196,0,200,0.98,1.6419142466700984,1.6419142466700984,,0.36654999999999993,1.3522410552592392,,,
eval_v2,eval_v2,11,0.3929,0.5747,0.2208862908490689,1.0,diag_heldout,0.985,197,0,200,0.985,1.3960317444653645,1.3960317444653645,,0.4103,1.1751454536162955,,,
eval_v2,eval_v2,12,0.4286,0.5986499999999999,0.24984243354933264,1.0000000000000002,diag_heldout,0.985,197,0,200,0.985,1.389483747815077,1.389483747815077,,0.3863500000000001,1.1396413142657444,,,
eval_v2,eval_v2,13,0.4643,0.57805,0.1933094468800434,1.0000000000000002,diag_heldout,0.99,198,0,200,0.99,1.3468435942470158,1.3468435942470158,,0.41195000000000004,1.1535341473669725,,,
eval_v2,eval_v2,14,0.5,0.6006499999999999,0.24527580825941456,0.9999999999999998,diag_heldout,0.905,181,0,200,0.905,1.28113932385199,1.28113932385199,,0.3043500000000001,1.0358635155925753,,,
eval_v2,eval_v2,15,0.5357,0.5950999999999999,0.2389188807638341,1.0000000000000002,diag_heldout,0.93,186,0,200,0.93,1.2541363665997534,1.2541363665997534,,0.3349000000000002,1.0152174858359193,,,
eval_v2,eval_v2,16,0.5714,0.59255,0.2466979499573016,0.9999999999999998,diag_heldout,0.935,187,0,200,0.935,1.2166083682218747,1.2166083682218747,,0.34245000000000003,0.969910418264573,,,
eval_v2,eval_v2,17,0.6071,0.5849500000000001,0.2185283232034123,1.0,diag_heldout,0.92,184,0,200,0.92,1.2006983092574208,1.2006983092574208,,0.33504999999999996,0.9821699860540085,,,
eval_v2,eval_v2,18,0.6429,0.5822499999999999,0.22494784446192267,1.0000000000000002,diag_heldout,0.945,189,0,200,0.945,1.2364388697672466,1.2364388697672466,,0.36275,1.011491025305324,,,
eval_v2,eval_v2,19,0.6786,0.59365,0.24194883595658023,1.0,diag_heldout,0.97,194,0,200,0.97,1.2262506940748397,1.2262506940748397,,0.37634999999999996,0.9843018581182594,,,
eval_v2,eval_v2,20,0.7143,0.5998999999999999,0.2466342241584678,1.0,diag_heldout,0.975,195,0,200,0.975,1.3224916531226183,1.3224916531226183,,0.3751000000000001,1.0758574289641505,,,
eval_v2,eval_v2,21,0.75,0.5917,0.21012570523472124,1.0000000000000002,diag_heldout,0.955,191,0,200,0.955,1.2639558634425663,1.2639558634425663,,0.36329999999999996,1.053830158207845,,,
eval_v2,eval_v2,22,0.7857,0.58045,0.19837748659661317,0.9999999999999999,diag_heldout,0.97,194,0,200,0.97,1.363070438535982,1.363070438535982,,0.38954999999999995,1.1646929519393687,,,
eval_v2,eval_v2,23,0.8214,0.588,0.2187044457466735,0.9999999999999998,diag_heldout,0.97,194,0,200,0.97,1.359854348573712,1.359854348573712,,0.382,1.1411499028270384,,,
eval_v2,eval_v2,24,0.8571,0.5921500000000002,0.21673996964463793,1.0,diag_heldout,0.97,194,0,200,0.97,1.4090477086222986,1.4090477086222986,,0.3778499999999998,1.1923077389776606,,,
eval_v2,eval_v2,25,0.8929,0.58295,0.21129758489167064,1.0000000000000002,diag_heldout,0.975,195,0,200,0.975,1.4314346002415963,1.4314346002415963,,0.39205,1.2201370153499256,,,
eval_v2,eval_v2,26,0.9286,0.5889499999999999,0.21092911526845354,1.0,diag_heldout,0.975,195,0,200,0.975,1.4042705481801416,1.4042705481801416,,0.3860500000000001,1.193341432911688,,,
eval_v2,eval_v2,27,0.9643,0.59185,0.22182412039315227,1.0,diag_heldout,0.98,196,0,200,0.98,1.4295738222175765,1.4295738222175765,,0.38815,1.207749701824424,,,
eval_v2,eval_v2,28,1.0,0.5763,0.1877539515679256,1.0000000000000002,diag_heldout,0.975,195,0,200,0.975,1.333036350219876,1.333036350219876,,0.39869999999999994,1.1452823986519505,,,
eval_v2,harm_v2,0,0.0,0.5,nan,0.0,offdiag_pooled,0.5,0,1000,1000,0.5,nan,nan,0.6,0.0,nan,,,
eval_v2,harm_v2,1,0.0357,0.5609,0.13689295918497293,0.015019944994408929,offdiag_pooled,0.461,461,0,1000,0.5389999999999999,-0.02762968654506538,0.02762968654506538,0.6,-0.02190000000000003,-0.10926327263990755,,,
eval_v2,harm_v2,2,0.0714,0.56315,0.17040754101813166,-0.018243820329593197,offdiag_pooled,0.475,475,0,1000,0.525,-0.09607018720168446,0.09607018720168446,0.6,-0.03815000000000002,-0.0743373538164472,,,
