axis,basis,basis_axes,layer,depth,resid_frac
story_v2_1k,others,persona_v2+harm_v2+eval_v2,0,0.0,0.0
story_v2_1k,others,persona_v2+harm_v2+eval_v2,1,0.0357,0.9600309285889499
story_v2_1k,others,persona_v2+harm_v2+eval_v2,2,0.0714,0.9584423589697614
story_v2_1k,others,persona_v2+harm_v2+eval_v2,3,0.1071,0.961725079923575
story_v2_1k,others,persona_v2+harm_v2+eval_v2,4,0.1429,0.9722149215506473
story_v2_1k,others,persona_v2+harm_v2+eval_v2,5,0.1786,0.9929957863019355
story_v2_1k,others,persona_v2+harm_v2+eval_v2,6,0.2143,0.9967608481442327
story_v2_1k,others,persona_v2+harm_v2+eval_v2,7,0.25,0.9937128551781126
story_v2_1k,others,persona_v2+harm_v2+eval_v2,8,0.2857,0.9991340875592754
story_v2_1k,others,persona_v2+harm_v2+eval_v2,9,0.3214,0.992138184191312
story_v2_1k,others,persona_v2+harm_v2+eval_v2,10,0.3571,0.9986485646014489
story_v2_1k,others,persona_v2+harm_v2+eval_v2,11,0.3929,0.9934192664120588
story_v2_1k,others,persona_v2+harm_v2+eval_v2,12,0.4286,0.9946186260873917
story_v2_1k,others,persona_v2+harm_v2+eval_v2,13,0.4643,0.9927916254156399
story_v2_1k,others,persona_v2+harm_v2+eval_v2,14,0.5,0.9869017644771569
story_v2_1k,others,persona_v2+harm_v2+eval_v2,15,0.5357,0.9826568941149374
story_v2_1k,others,persona_v2+harm_v2+eval_v2,16,0.5714,0.9822075477720101
story_v2_1k,others,persona_v2+harm_v2+eval_v2,17,0.6071,0.980137850708381
story_v2_1k,others,persona_v2+harm_v2+eval_v2,18,0.6429,0.9782252673744408
story_v2_1k,others,persona_v2+harm_v2+eval_v2,19,0.6786,0.9777842421413642
story_v2_1k,others,persona_v2+harm_v2+eval_v2,20,0.7143,0.9635475709029063
story_v2_1k,others,persona_v2+harm_v2+eval_v2,21,0.75,0.9734271905922155
story_v2_1k,others,persona_v2+harm_v2+eval_v2,22,0.7857,0.9786367813271366
story_v2_1k,others,persona_v2+harm_v2+eval_v2,23,0.8214,0.9817311525074207
story_v2_1k,others,persona_v2+harm_v2+eval_v2,24,0.8571,0.9843293729313866
story_v2_1k,others,persona_v2+harm_v2+eval_v2,25,0.8929,0.9823561914520884
story_v2_1k,others,persona_v2+harm_v2+eval_v2,26,0.9286,0.9845150719204584
story_v2_1k,others,persona_v2+harm_v2+eval_v2,27,0.9643,0.9824421300266354
story_v2_1k,others,persona_v2+harm_v2+eval_v2,28,1.0,0.9479976125668962
persona_v2,others,story_v2_1k+harm_v2+eval_v2,0,0.0,0.0
persona_v2,others,story_v2_1k+harm_v2+eval_v2,1,0.0357,0.9870035260128289
persona_v2,others,story_v2_1k+harm_v2+eval_v2,2,0.0714,0.9950763068404714
persona_v2,others,story_v2_1k+harm_v2+eval_v2,3,0.1071,0.9932982815811354
persona_v2,others,story_v2_1k+harm_v2+eval_v2,4,0.1429,0.9907699280925509
persona_v2,others,story_v2_1k+harm_v2+eval_v2,5,0.1786,0.9764992302261942
persona_v2,others,story_v2_1k+harm_v2+eval_v2,6,0.2143,0.9676122795960304
persona_v2,others,story_v2_1k+harm_v2+eval_v2,7,0.25,0.9482385606535888
persona_v2,others,story_v2_1k+harm_v2+eval_v2,8,0.2857,0.9489321331995786
persona_v2,others,story_v2_1k+harm_v2+eval_v2,9,0.3214,0.9568266617878598
persona_v2,others,story_v2_1k+harm_v2+eval_v2,10,0.3571,0.9659726063468947
persona_v2,others,story_v2_1k+harm_v2+eval_v2,11,0.3929,0.9637022386133602
persona_v2,others,story_v2_1k+harm_v2+eval_v2,12,0.4286,0.9581364817647813
persona_v2,others,story_v2_1k+harm_v2+eval_v2,13,0.4643,0.9545540709311798
persona_v2,others,story_v2_1k+harm_v2+eval_v2,14,0.5,0.9530936023810583
persona_v2,others,story_v2_1k+harm_v2+eval_v2,15,0.5357,0.9168063915599622
persona_v2,others,story_v2_1k+harm_v2+eval_v2,16,0.5714,0.8624538733250248
persona_v2,others,story_v2_1k+harm_v2+eval_v2,17,0.6071,0.8818278708135435
persona_v2,others,story_v2_1k+harm_v2+eval_v2,18,0.6429,0.8715572228694961
persona_v2,others,story_v2_1k+harm_v2+eval_v2,19,0.6786,0.8755426704042585
persona_v2,others,story_v2_1k+harm_v2+eval_v2,20,0.7143,0.8739856950361922
persona_v2,others,story_v2_1k+harm_v2+eval_v2,21,0.75,0.9050584355673307
persona_v2,others,story_v2_1k+harm_v2+eval_v2,22,0.7857,0.9283282741082074
persona_v2,others,story_v2_1k+harm_v2+eval_v2,23,0.8214,0.9286832896756354
persona_v2,others,story_v2_1k+harm_v2+eval_v2,24,0.8571,0.9332786266794783
persona_v2,others,story_v2_1k+harm_v2+eval_v2,25,0.8929,0.9409133186905753
persona_v2,others,story_v2_1k+harm_v2+eval_v2,26,0.9286,0.9420078425235109
persona_v2,others,story_v2_1k+harm_v2+eval_v2,27,0.9643,0.9474456735555388
persona_v2,others,story_v2_1k+harm_v2+eval_v2,28,1.0,0.960047330799346
persona_v2,story_v2_1k,story_v2_1k,0,0.0,0.0
persona_v2,story_v2_1k,story_v2_1k,1,0.0357,0.9964049581960367
persona_v2,story_v2_1k,story_v2_1k,2,0.0714,0.9982911146428558
persona_v2,story_v2_1k,story_v2_1k,3,0.1071,0.9993334742069326
persona_v2,story_v2_1k,story_v2_1k,4,0.1429,0.9987176884025142
persona_v2,story_v2_1k,story_v2_1k,5,0.1786,0.9977238691634986
persona_v2,story_v2_1k,story_v2_1k,6,0.2143,0.9998820538306692
persona_v2,story_v2_1k,story_v2_1k,7,0.25,0.9998007493972421
persona_v2,story_v2_1k,story_v2_1k,8,0.2857,0.9999067618840793
persona_v2,story_v2_1k,story_v2_1k,9,0.3214,0.9999089119239073
persona_v2,story_v2_1k,story_v2_1k,10,0.3571,0.9999720757077382
persona_v2,story_v2_1k,story_v2_1k,11,0.3929,0.9999794201776668
persona_v2,story_v2_1k,story_v2_1k,12,0.4286,0.9999713341044056
persona_v2,story_v2_1k,story_v2_1k,13,0.4643,0.9997139312118914
persona_v2,story_v2_1k,story_v2_1k,14,0.5,0.9971743564131719
persona_v2,story_v2_1k,story_v2_1k,15,0.5357,0.9906082713791042
persona_v2,story_v2_1k,story_v2_1k,16,0.5714,0.9898752690564093
persona_v2,story_v2_1k,story_v2_1k,17,0.6071,0.9866260332527443
persona_v2,story_v2_1k,story_v2_1k,18,0.6429,0.9842460161155637
persona_v2,story_v2_1k,story_v2_1k,19,0.6786,0.985294367668011
persona_v2,story_v2_1k,story_v2_1k,20,0.7143,0.973112027192419
persona_v2,story_v2_1k,story_v2_1k,21,0.75,0.9789780388726588
persona_v2,story_v2_1k,story_v2_1k,22,0.7857,0.9805271759350126
persona_v2,story_v2_1k,story_v2_1k,23,0.8214,0.9855102995608995
persona_v2,story_v2_1k,story_v2_1k,24,0.8571,0.9883598524798075
persona_v2,story_v2_1k,story_v2_1k,25,0.8929,0.9892306152579252
persona_v2,story_v2_1k,story_v2_1k,26,0.9286,0.9892439753164476
persona_v2,story_v2_1k,story_v2_1k,27,0.9643,0.9879898598089255
persona_v2,story_v2_1k,story_v2_1k,28,1.0,0.9750170386008193
harm_v2,others,story_v2_1k+persona_v2+eval_v2,0,0.0,0.0
harm_v2,others,story_v2_1k+persona_v2+eval_v2,1,0.0357,0.9948905295280001
harm_v2,others,story_v2_1k+persona_v2+eval_v2,2,0.0714,0.9968717014836641
harm_v2,others,story_v2_1k+persona_v2+eval_v2,3,0.1071,0.9992147311745577
harm_v2,others,story_v2_1k+persona_v2+eval_v2,4,0.1429,0.9907057744375045
harm_v2,others,story_v2_1k+persona_v2+eval_v2,5,0.1786,0.9856996106575474
harm_v2,others,story_v2_1k+persona_v2+eval_v2,6,0.2143,0.959824018162136
harm_v2,others,story_v2_1k+persona_v2+eval_v2,7,0.25,0.9493857979406322
harm_v2,others,story_v2_1k+persona_v2+eval_v2,8,0.2857,0.9524585013011004
harm_v2,others,story_v2_1k+persona_v2+eval_v2,9,0.3214,0.9538204861354903
harm_v2,others,story_v2_1k+persona_v2+eval_v2,10,0.3571,0.979352190182902
harm_v2,others,story_v2_1k+persona_v2+eval_v2,11,0.3929,0.974255606416546
harm_v2,others,story_v2_1k+persona_v2+eval_v2,12,0.4286,0.971769447726535
harm_v2,others,story_v2_1k+persona_v2+eval_v2,13,0.4643,0.9739224658567919
harm_v2,others,story_v2_1k+persona_v2+eval_v2,14,0.5,0.9862257541935125
harm_v2,others,story_v2_1k+persona_v2+eval_v2,15,0.5357,0.9668936237983734
harm_v2,others,story_v2_1k+persona_v2+eval_v2,16,0.5714,0.9278239238727437
harm_v2,others,story_v2_1k+persona_v2+eval_v2,17,0.6071,0.946163660943997
harm_v2,others,story_v2_1k+persona_v2+eval_v2,18,0.6429,0.943577729816856
harm_v2,others,story_v2_1k+persona_v2+eval_v2,19,0.6786,0.9816279838567574
harm_v2,others,story_v2_1k+persona_v2+eval_v2,20,0.7143,0.9753529502941897
harm_v2,others,story_v2_1k+persona_v2+eval_v2,21,0.75,0.9889174933521425
harm_v2,others,story_v2_1k+persona_v2+eval_v2,22,0.7857,0.9986848411108313
harm_v2,others,story_v2_1k+persona_v2+eval_v2,23,0.8214,0.9965375837513245
harm_v2,others,story_v2_1k+persona_v2+eval_v2,24,0.8571,0.9948449540759501
