axis,layer,depth,n_half,split_cos,reliability
story_v2_1k,0,0.0,400,0.0,nan
story_v2_1k,1,0.0357,400,0.988404615105591,0.9941684982994302
story_v2_1k,2,0.0714,400,0.9866951691223256,0.993303033558212
story_v2_1k,3,0.1071,400,0.9902906365641768,0.9951216353745278
story_v2_1k,4,0.1429,400,0.9928701347300637,0.9964223131524312
story_v2_1k,5,0.1786,400,0.9936273989208472,0.9968035144969405
story_v2_1k,6,0.2143,400,0.9900365238621583,0.9949933199625376
story_v2_1k,7,0.25,400,0.991668994264916,0.9958170731386222
story_v2_1k,8,0.2857,400,0.9917438716751114,0.9958548242862447
story_v2_1k,9,0.3214,400,0.9944518067426997,0.997218186351486
story_v2_1k,10,0.3571,400,0.9944615972160398,0.9972231088371464
story_v2_1k,11,0.3929,400,0.9950410135645009,0.9975143436141
story_v2_1k,12,0.4286,400,0.9952135867806294,0.9976010522126136
story_v2_1k,13,0.4643,400,0.9958937139115674,0.997942632886806
story_v2_1k,14,0.5,400,0.9977407806132397,0.998869112845528
story_v2_1k,15,0.5357,400,0.9982177873157093,0.9991080988791092
story_v2_1k,16,0.5714,400,0.9981785813916978,0.9990884605483893
story_v2_1k,17,0.6071,400,0.9980718904516945,0.999035014927381
story_v2_1k,18,0.6429,400,0.99805488325422,0.9990264948365122
story_v2_1k,19,0.6786,400,0.9973887898874818,0.9986926881107282
story_v2_1k,20,0.7143,400,0.9974127783446318,0.9987047135757726
story_v2_1k,21,0.75,400,0.9973499988337413,0.9986732414610329
story_v2_1k,22,0.7857,400,0.9970306263120405,0.9985131055834416
story_v2_1k,23,0.8214,400,0.9966837877752442,0.9983391400055135
story_v2_1k,24,0.8571,400,0.9965783526357798,0.9982862443841971
story_v2_1k,25,0.8929,400,0.9963991180517076,0.9981963115913383
story_v2_1k,26,0.9286,400,0.9961469713804603,0.9980697670688671
story_v2_1k,27,0.9643,400,0.9958950480095691,0.9979433026829118
story_v2_1k,28,1.0,400,0.9964780340738274,0.9982359105053682
persona_v2,0,0.0,400,0.0,nan
persona_v2,1,0.0357,400,0.9933414408366796,0.996659599290463
persona_v2,2,0.0714,400,0.9938789968125333,0.996930102981549
persona_v2,3,0.1071,400,0.9946841839651619,0.9973350086807873
persona_v2,4,0.1429,400,0.9953156563560829,0.9976523295304203
persona_v2,5,0.1786,400,0.9934907220711506,0.9967347337728834
persona_v2,6,0.2143,400,0.9962113801449712,0.9981020948519221
persona_v2,7,0.25,400,0.9959685133393117,0.9979801852415279
persona_v2,8,0.2857,400,0.9956582433529539,0.9978243987107976
persona_v2,9,0.3214,400,0.9941227610948052,0.9970527196119219
persona_v2,10,0.3571,400,0.9935915749001162,0.9967854874686631
persona_v2,11,0.3929,400,0.9928804926385291,0.9964275292031963
persona_v2,12,0.4286,400,0.9924115157330531,0.99619130676217
persona_v2,13,0.4643,400,0.9922097038627649,0.9960896204239291
persona_v2,14,0.5,400,0.9914547717322534,0.9957090523023461
persona_v2,15,0.5357,400,0.9915510678490299,0.9957576121007556
persona_v2,16,0.5714,400,0.9933281729704636,0.9966529209188901
persona_v2,17,0.6071,400,0.9928238541736475,0.9963990064594404
persona_v2,18,0.6429,400,0.9935747193712959,0.9967770053631446
persona_v2,19,0.6786,400,0.9919066695189517,0.9959368927244956
persona_v2,20,0.7143,400,0.9920866481803711,0.9960276066169826
persona_v2,21,0.75,400,0.9902010042797339,0.99507637886867
persona_v2,22,0.7857,400,0.9892643589595543,0.9946032104822604
persona_v2,23,0.8214,400,0.9885746134957646,0.9942544843795674
persona_v2,24,0.8571,400,0.9879356786191864,0.9939312315229467
persona_v2,25,0.8929,400,0.9867063830605738,0.9933087158460995
persona_v2,26,0.9286,400,0.9853179901917477,0.9926047062078784
persona_v2,27,0.9643,400,0.9834223826111329,0.9916419127190431
persona_v2,28,1.0,400,0.9842316872243327,0.9920531897171115
harm_v2,0,0.0,400,0.0,nan
harm_v2,1,0.0357,400,0.9565210910837149,0.977777439193256
harm_v2,2,0.0714,400,0.9650040817058859,0.9821904093635607
harm_v2,3,0.1071,400,0.9538235404098979,0.9763661054158378
harm_v2,4,0.1429,400,0.9549516474663523,0.9769567945109889
harm_v2,5,0.1786,400,0.9660168525052198,0.9827147221797835
harm_v2,6,0.2143,400,0.9682814717542331,0.9838851664759625
harm_v2,7,0.25,400,0.9705911359921323,0.9850761208295696
harm_v2,8,0.2857,400,0.9745196841270692,0.9870954358785259
harm_v2,9,0.3214,400,0.978666585846578,0.9892182875548512
harm_v2,10,0.3571,400,0.9806606752403609,0.9902359222852284
harm_v2,11,0.3929,400,0.9797668490915429,0.9897800334833662
harm_v2,12,0.4286,400,0.9811048166058756,0.9904623000076813
harm_v2,13,0.4643,400,0.9839395152139091,0.991904750793595
harm_v2,14,0.5,400,0.990063431839127,0.9950069088241624
harm_v2,15,0.5357,400,0.9922191774216504,0.9960943942983123
harm_v2,16,0.5714,400,0.994540837839446,0.9972629479141337
harm_v2,17,0.6071,400,0.9945736413516238,0.997279439306789
harm_v2,18,0.6429,400,0.9953490791884337,0.9976691192232601
harm_v2,19,0.6786,400,0.9961493826877311,0.9980709773799172
harm_v2,20,0.7143,400,0.9953847647450343,0.9976870449566876
harm_v2,21,0.75,400,0.995190757854307,0.9975895827871292
harm_v2,22,0.7857,400,0.9949785784926655,0.9974829697113197
harm_v2,23,0.8214,400,0.9950412069605584,0.9975144407934329
harm_v2,24,0.8571,400,0.9954739433435361,0.9977318387586258
harm_v2,25,0.8929,400,0.9947270911154967,0.9973565762915696
harm_v2,26,0.9286,400,0.9944533267409689,0.9972189505842712
harm_v2,27,0.9643,400,0.993690856543583,0.9968354454574994
harm_v2,28,1.0,400,0.9921747730682493,0.9960720178583033
eval_v2,0,0.0,400,0.0,nan
eval_v2,1,0.0357,400,0.9642994589317857,0.981825306265864
eval_v2,2,0.0714,400,0.9581718970557676,0.978639207820762
eval_v2,3,0.1071,400,0.9640593068602987,0.9817008106556847
eval_v2,4,0.1429,400,0.973639052544241,0.9866434810246703
eval_v2,5,0.1786,400,0.9780085847876762,0.9888820425849242
eval_v2,6,0.2143,400,0.9717028021319605,0.9856483452590105
eval_v2,7,0.25,400,0.9709837673038197,0.985278299508335
eval_v2,8,0.2857,400,0.9676696227458103,0.9835692044637686
eval_v2,9,0.3214,400,0.9652946669204949,0.982340901003977
eval_v2,10,0.3571,400,0.9658568113547038,0.9826319045985004
eval_v2,11,0.3929,400,0.9646518762502297,0.9820079454395574
eval_v2,12,0.4286,400,0.9601720513864793,0.9796814016477027
eval_v2,13,0.4643,400,0.9633684166862007,0.9813424811143562
eval_v2,14,0.5,400,0.9767094852450692,0.9882175327589713
eval_v2,15,0.5357,400,0.9741287343423634,0.9868948436808732
eval_v2,16,0.5714,400,0.9745983880733986,0.9871358084357672
eval_v2,17,0.6071,400,0.9714725625041233,0.9855298835812142
eval_v2,18,0.6429,400,0.9726639402979893,0.9861425663319616
eval_v2,19,0.6786,400,0.9672822527696765,0.9833690629881598
eval_v2,20,0.7143,400,0.9664765578070361,0.9829525340335872
eval_v2,21,0.75,400,0.9670293964575151,0.9832383778290946
eval_v2,22,0.7857,400,0.9672470488682762,0.9833508703695523
eval_v2,23,0.8214,400,0.9679207109474527,0.9836988914878065
eval_v2,24,0.8571,400,0.9641712903729065,0.9817588670587425
eval_v2,25,0.8929,400,0.9626909794189219,0.9809908839586536
eval_v2,26,0.9286,400,0.9631840349872527,0.9812468090832929
eval_v2,27,0.9643,400,0.9629017062327275,0.9811002794233274
eval_v2,28,1.0,400,0.9705370722606844,0.9850482753387053
