probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,eval_v2,27,0.6429,0.57445,0.1523565804896261,1.0000000000000002,diag_heldout,0.985,197,0,200,0.985,1.2778439410317344,1.2778439410317344,,0.41054999999999997,1.1254873605421083,0.9822727272727274,1.0,1.2693423383148028,0.3886590909090909,,,
eval_v2,harm_v2,27,0.6429,0.60705,0.2847614738287334,-0.04544675816831759,offdiag_pooled,0.403,403,0,1000,0.597,-0.2710832939376566,0.2710832939376566,0.65,-0.010050000000000003,-0.01367817989107678,0.32772727272727276,0.754,-0.4762924235932855,0.03974090909090908,,,
eval_v2,persona_v2,27,0.6429,0.6857,0.46924902622743253,0.1671386339817365,offdiag_pooled,0.85,850,0,1000,0.85,0.9084944167610628,0.9084944167610628,,0.1643,0.43924539053363026,0.8139545454545455,0.932,0.8502682138345147,0.15908181818181816,,,
eval_v2,story_v2_1k,27,0.6429,0.7627499999999999,0.7808616948062818,-0.07956403519204974,offdiag_pooled,0.092,92,0,1000,0.908,-1.3597746455200486,1.3597746455200486,,0.1452500000000001,0.5789129507137668,0.13277272727272724,0.959,-1.278090032611823,0.19995000000000002,,,
harm_v2,eval_v2,27,0.6429,0.57445,0.1523565804896261,-0.04544675816831759,offdiag_pooled,0.442,442,0,1000,0.558,-0.05402214489468455,0.05402214489468455,0.6,-0.016449999999999965,-0.09833443559494157,0.43863636363636355,0.583,-0.1134856358945996,-0.03170454545454548,,,
harm_v2,harm_v2,27,0.6429,0.60705,0.2847614738287334,1.0000000000000002,diag_heldout,0.91,182,0,200,0.91,1.1272804616433876,1.1272804616433876,,0.30295000000000005,0.8425189878146542,0.9218181818181818,0.99,1.105509800984634,0.2892863636363636,,,
harm_v2,persona_v2,27,0.6429,0.6857,0.46924902622743253,-0.24805193806889672,offdiag_pooled,0.311,311,0,1000,0.6890000000000001,-0.5009433760455128,0.5009433760455128,0.75,0.0033000000000000806,0.031694349818080225,0.3134090909090909,0.785,-0.5012086639391649,0.03380909090909091,,,
harm_v2,story_v2_1k,27,0.6429,0.7627499999999999,0.7808616948062818,0.01744051887061335,offdiag_pooled,0.599,599,0,1000,0.599,0.23226746454014835,0.23226746454014835,0.65,-0.16374999999999995,-0.5485942302661334,0.6780454545454545,0.959,0.53732854029766,-0.01595909090909089,,,
persona_v2,eval_v2,27,0.6429,0.57445,0.1523565804896261,0.1671386339817365,offdiag_pooled,0.673,673,0,1000,0.673,0.37908559439949785,0.37908559439949785,0.75,0.09855000000000003,0.22672901390987174,0.630909090909091,0.699,0.3158949605434487,0.03729545454545455,,,
persona_v2,harm_v2,27,0.6429,0.60705,0.2847614738287334,-0.24805193806889672,offdiag_pooled,0.24,240,0,1000,0.76,-0.7249900344524213,0.7249900344524213,,0.15295000000000003,0.44022856062368787,0.2802727272727273,0.8220000000000001,-0.6189098469098154,0.0907409090909091,,,
persona_v2,persona_v2,27,0.6429,0.6857,0.46924902622743253,1.0,diag_heldout,0.995,199,0,200,0.995,1.724359523753806,1.724359523753806,,0.3093,1.2551104975263736,0.9984090909090909,1.0,1.8501131750469997,0.3435363636363636,,,
persona_v2,story_v2_1k,27,0.6429,0.7627499999999999,0.7808616948062818,0.120606778078821,offdiag_pooled,0.907,907,0,1000,0.907,1.286547996818763,1.286547996818763,,0.1442500000000001,0.5056863020124812,0.9214090909090907,0.97,1.4252242551935626,0.2262227272727273,,,
random_20260731,eval_v2,27,0.6429,,,,null_pooled,0.5106499999999999,,,1000,0.57445,0.01586442944089806,0.1523565804896261,,,,0.49356818181818185,0.6264000000000001,-0.016171498432944093,nan,0.09953273727509801,20,0.306484192609787
random_20260731,harm_v2,27,0.6429,,,,null_pooled,0.49645,,,1000,0.60705,-0.004395257100003634,0.2847614738287334,,,,0.5046772727272727,0.66395,0.01622594880867192,nan,0.1420061062438032,20,0.42471426725387573
random_20260731,persona_v2,27,0.6429,,,,null_pooled,0.5054,,,1000,0.6857,0.02451081448105107,0.46924902622743253,,,,0.5005363636363637,0.7030999999999998,0.0028127819937514096,nan,0.2125294778315903,20,0.45961910486221313
random_20260731,story_v2_1k,27,0.6429,,,,null_pooled,0.44065000000000004,,,1000,0.7627499999999999,-0.19834620320703586,0.7808616948062818,,,,0.4926136363636365,0.7627499999999999,-0.0164686928160143,nan,0.29401848760346955,20,0.5452490448951721
story_v2_1k,eval_v2,27,0.6429,0.57445,0.1523565804896261,-0.07956403519204974,offdiag_pooled,0.284,284,0,1000,0.716,-0.5107280257866064,0.5107280257866064,0.75,0.14154999999999995,0.3583714452969803,0.2916818181818182,0.844,-0.4777923937220701,0.12606818181818177,,,
story_v2_1k,harm_v2,27,0.6429,0.60705,0.2847614738287334,0.01744051887061335,offdiag_pooled,0.586,586,0,1000,0.586,0.20892151183174024,0.20892151183174024,0.65,-0.021050000000000013,-0.07583996199699317,0.6641363636363636,0.826,0.3231988662037693,0.03160454545454545,,,
story_v2_1k,persona_v2,27,0.6429,0.6857,0.46924902622743253,0.120606778078821,offdiag_pooled,0.873,873,0,1000,0.873,0.8782372042180869,0.8782372042180869,,0.18730000000000002,0.4089881779906544,0.8297727272727274,0.896,0.831395915656817,0.1749,,,
