probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,eval_v2,0,0.0,0.5,nan,0.0,diag_heldout,0.5,0,200,200,0.5,nan,nan,,0.0,nan,,,
eval_v2,eval_v2,1,0.0238,0.5756,0.1761346815109719,1.0,diag_heldout,0.905,181,0,200,0.905,1.047262227704668,1.047262227704668,,0.3294,0.871127546193696,,,
eval_v2,eval_v2,2,0.0476,0.6000000000000001,0.2636935753685775,1.0,diag_heldout,0.995,199,0,200,0.995,1.7558182412624195,1.7558182412624195,,0.3949999999999999,1.4921246658938419,,,
eval_v2,eval_v2,3,0.0714,0.6025999999999999,0.23207045473244406,0.9999999999999999,diag_heldout,0.97,194,0,200,0.97,1.4188776622540107,1.4188776622540107,,0.36740000000000006,1.1868072075215665,,,
eval_v2,eval_v2,4,0.0952,0.6196999999999999,0.2868743009369653,1.0000000000000002,diag_heldout,1.0,200,0,200,1.0,1.8652079829757766,1.8652079829757766,,0.3803000000000001,1.5783336820388114,,,
eval_v2,eval_v2,5,0.119,0.62195,0.3018967202193817,1.0,diag_heldout,1.0,200,0,200,1.0,1.5446747912218868,1.5446747912218868,,0.37805,1.2427780710025051,,,
eval_v2,eval_v2,6,0.1429,0.5967,0.23612254831370544,1.0,diag_heldout,1.0,200,0,200,1.0,1.598231492773849,1.598231492773849,,0.4033,1.3621089444601435,,,
eval_v2,eval_v2,7,0.1667,0.62755,0.3295751628214926,1.0,diag_heldout,1.0,200,0,200,1.0,2.2839765334260322,2.2839765334260322,,0.37244999999999995,1.9544013706045398,,,
eval_v2,eval_v2,8,0.1905,0.6461500000000001,0.3579226108510828,0.9999999999999999,diag_heldout,1.0,200,0,200,1.0,2.267952670112788,2.267952670112788,,0.3538499999999999,1.9100300592617052,,,
eval_v2,eval_v2,9,0.2143,0.58785,0.2001709383142524,1.0,diag_heldout,1.0,200,0,200,1.0,2.198845344879775,2.198845344879775,,0.41215,1.9986744065655224,,,
