axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2_1k,persona_v2,0,0.0,0.0,nan,nan,nan
story_v2_1k,persona_v2,1,0.0238,0.13779694130132936,0.9939620395405789,0.9968133224944785,0.13843559174288375
story_v2_1k,persona_v2,2,0.0476,0.022109776024932828,0.9960584894622766,0.9962525247385106,0.02219510505357529
story_v2_1k,persona_v2,3,0.0714,0.18834482963793978,0.9966061339148415,0.9976267265252259,0.18888953044444146
story_v2_1k,persona_v2,4,0.0952,0.1384879193389845,0.9966464898490769,0.9980047922496462,0.13885931109053187
story_v2_1k,persona_v2,5,0.119,-0.0946147276190003,0.9973880865285181,0.996595125755727,-0.09490023237670267
story_v2_1k,persona_v2,6,0.1429,-0.11995377800485423,0.9975204556605957,0.9955779245178383,-0.12036920622682365
story_v2_1k,persona_v2,7,0.1667,-0.038844535247716694,0.9973271073997196,0.995632126184052,-0.03898178010040687
story_v2_1k,persona_v2,8,0.1905,-0.07040951769821882,0.9972202223536693,0.9957567423958457,-0.07065765227278219
story_v2_1k,persona_v2,9,0.2143,-0.07577450303287596,0.9951406666061716,0.996522552926151,-0.07609170117614743
story_v2_1k,persona_v2,10,0.2381,-0.03769541444063224,0.9964490190853754,0.9966554352885738,-0.03782582950940058
story_v2_1k,persona_v2,11,0.2619,0.01646570843930686,0.9972705501113065,0.9960974992231845,0.016520492837118737
story_v2_1k,persona_v2,12,0.2857,0.013254443209940934,0.9974219126404038,0.996678614827087,0.013293656912642726
story_v2_1k,persona_v2,13,0.3095,0.02893408122967655,0.9973276035873256,0.9964132398696809,0.029024920031587815
story_v2_1k,persona_v2,14,0.3333,0.05615081386720442,0.997637955708908,0.995678918693232,0.056339101631423256
story_v2_1k,persona_v2,15,0.3571,0.08045151706952788,0.9976333024992442,0.9945678739240523,0.08076655436408055
story_v2_1k,persona_v2,16,0.381,0.06762971535401409,0.9977633657473884,0.9936594822154706,0.06792114394892364
story_v2_1k,persona_v2,17,0.4048,0.06356305840478013,0.9976494477281705,0.9931572404900226,0.06385674772247255
story_v2_1k,persona_v2,18,0.4286,0.08269715437532896,0.9982839759813079,0.9937347110454449,0.08302870908601452
story_v2_1k,persona_v2,19,0.4524,0.08557569225185777,0.9985558925854735,0.993521932214255,0.08591628742331558
story_v2_1k,persona_v2,20,0.4762,0.09773675810897134,0.998852856298771,0.9935809768648288,0.09810825194179862
story_v2_1k,persona_v2,21,0.5,0.12444161482261229,0.9988903961925217,0.9935152034229274,0.12491640026864574
story_v2_1k,persona_v2,22,0.5238,0.12382640712553666,0.9988315071069139,0.9939355561394899,0.12427622187188003
story_v2_1k,persona_v2,23,0.5476,0.1384764338435357,0.99883135977672,0.9942900824582651,0.13895469724741938
story_v2_1k,persona_v2,24,0.5714,0.11096231948091595,0.9984747732758825,0.9941937008237774,0.11137083464407446
story_v2_1k,persona_v2,25,0.5952,0.13392941441663683,0.998345381296819,0.9945064323774623,0.13441005697970088
story_v2_1k,persona_v2,26,0.619,0.10914640591030556,0.9981514258963189,0.994532560006572,0.10954731073523209
story_v2_1k,persona_v2,27,0.6429,0.12060677894736312,0.9977942037975651,0.9944687801749321,0.12107532783650837
story_v2_1k,persona_v2,28,0.6667,0.13595557099663821,0.9978832914408075,0.9947072655556048,0.1364612947925749
story_v2_1k,persona_v2,29,0.6905,0.14233141592946114,0.9977553982829926,0.9948254335573283,0.14286152664802518
story_v2_1k,persona_v2,30,0.7143,0.13047624575273567,0.9975803601861333,0.9948951170391006,0.13096910424702432
story_v2_1k,persona_v2,31,0.7381,0.14156701609389039,0.9975440547155171,0.9950362645953151,0.14209427528914684
story_v2_1k,persona_v2,32,0.7619,0.14187019442384277,0.9975536651713808,0.995093520838976,0.14239380011056726
story_v2_1k,persona_v2,33,0.7857,0.13995789658345895,0.9975096438510886,0.9953658446375462,0.14045832604344902
story_v2_1k,persona_v2,34,0.8095,0.13302169499015817,0.9973242204059783,0.9954249104495355,0.13350577185080997
story_v2_1k,persona_v2,35,0.8333,0.13607487074664382,0.9971296982442412,0.9952635182591455,0.13659445265121495
story_v2_1k,persona_v2,36,0.8571,0.13151917329958826,0.9969458288500812,0.9950842589943126,0.1320454259506142
story_v2_1k,persona_v2,37,0.881,0.13322973675528887,0.9967185507928357,0.9948496019346896,0.133793860117118
story_v2_1k,persona_v2,38,0.9048,0.1478894739013126,0.9966633652338546,0.9946454196780075,0.14853502476174787
story_v2_1k,persona_v2,39,0.9286,0.15945759572695983,0.996607900979395,0.994647204221577,0.1601579552625097
story_v2_1k,persona_v2,40,0.9524,0.16212761017591182,0.9963385158767322,0.9943894445925165,0.1628828158363488
story_v2_1k,persona_v2,41,0.9762,0.13897028997129507,0.9964049510852548,0.9941585483044681,0.13962918390521675
story_v2_1k,persona_v2,42,1.0,0.23124629138318467,0.9960175140412143,0.9933506956309825,0.23248235096750797
story_v2_1k,harm_v2,0,0.0,0.0,nan,nan,nan
story_v2_1k,harm_v2,1,0.0238,-0.019516021170253316,0.9939620395405789,0.9700585856988125,-0.01987501199144433
story_v2_1k,harm_v2,2,0.0476,0.14532298394521145,0.9960584894622766,0.9852199355406098,0.14669837075180395
story_v2_1k,harm_v2,3,0.0714,0.16782439392607484,0.9966061339148415,0.9859421746980664,0.1693041436200902
story_v2_1k,harm_v2,4,0.0952,0.1454851323623856,0.9966464898490769,0.9867132734288021,0.14670758142919735
story_v2_1k,harm_v2,5,0.119,0.15746085267643917,0.9973880865285181,0.9889267220040829,0.15854715543991646
story_v2_1k,harm_v2,6,0.1429,0.09426630426176075,0.9975204556605957,0.9875484794506421,0.09497654418325652
story_v2_1k,harm_v2,7,0.1667,0.09547971884430878,0.9973271073997196,0.9880341904367329,0.09618477493646858
story_v2_1k,harm_v2,8,0.1905,0.08396182042395843,0.9972202223536693,0.9865417608723126,0.08465031349394131
story_v2_1k,harm_v2,9,0.2143,0.08741150649227368,0.9951406666061716,0.9868755972218998,0.08820539781005848
story_v2_1k,harm_v2,10,0.2381,0.04865312968495028,0.9964490190853754,0.9866430879570529,0.04906854737150053
story_v2_1k,harm_v2,11,0.2619,0.09316681954565587,0.9972705501113065,0.9892651159247442,0.09379904690029311
story_v2_1k,harm_v2,12,0.2857,0.09698014063710435,0.9974219126404038,0.9893204647196578,0.09762810523318062
