axis,basis,basis_axes,layer,depth,resid_frac
story_v2_1k,others,persona_v2+harm_v2+eval_v2,0,0.0,0.0
story_v2_1k,others,persona_v2+harm_v2+eval_v2,1,0.0238,0.7875068854639983
story_v2_1k,others,persona_v2+harm_v2+eval_v2,2,0.0476,0.9222006804440115
story_v2_1k,others,persona_v2+harm_v2+eval_v2,3,0.0714,0.8900267950647561
story_v2_1k,others,persona_v2+harm_v2+eval_v2,4,0.0952,0.9208872438458344
story_v2_1k,others,persona_v2+harm_v2+eval_v2,5,0.119,0.9607339329713602
story_v2_1k,others,persona_v2+harm_v2+eval_v2,6,0.1429,0.959716031775237
story_v2_1k,others,persona_v2+harm_v2+eval_v2,7,0.1667,0.9786762458206305
story_v2_1k,others,persona_v2+harm_v2+eval_v2,8,0.1905,0.9788436986934741
story_v2_1k,others,persona_v2+harm_v2+eval_v2,9,0.2143,0.9906714459411827
story_v2_1k,others,persona_v2+harm_v2+eval_v2,10,0.2381,0.9971191337297242
story_v2_1k,others,persona_v2+harm_v2+eval_v2,11,0.2619,0.9951317928049466
story_v2_1k,others,persona_v2+harm_v2+eval_v2,12,0.2857,0.993990522517088
story_v2_1k,others,persona_v2+harm_v2+eval_v2,13,0.3095,0.9951337282402544
story_v2_1k,others,persona_v2+harm_v2+eval_v2,14,0.3333,0.9937073815834956
story_v2_1k,others,persona_v2+harm_v2+eval_v2,15,0.3571,0.9919968149191206
story_v2_1k,others,persona_v2+harm_v2+eval_v2,16,0.381,0.9946446485719663
story_v2_1k,others,persona_v2+harm_v2+eval_v2,17,0.4048,0.9939519503773252
story_v2_1k,others,persona_v2+harm_v2+eval_v2,18,0.4286,0.9908091615324393
story_v2_1k,others,persona_v2+harm_v2+eval_v2,19,0.4524,0.9916859268977134
story_v2_1k,others,persona_v2+harm_v2+eval_v2,20,0.4762,0.9909036803274361
story_v2_1k,others,persona_v2+harm_v2+eval_v2,21,0.5,0.9832266415683041
story_v2_1k,others,persona_v2+harm_v2+eval_v2,22,0.5238,0.9878032837056012
story_v2_1k,others,persona_v2+harm_v2+eval_v2,23,0.5476,0.9824171592607287
story_v2_1k,others,persona_v2+harm_v2+eval_v2,24,0.5714,0.9864135659974951
story_v2_1k,others,persona_v2+harm_v2+eval_v2,25,0.5952,0.984062067752991
story_v2_1k,others,persona_v2+harm_v2+eval_v2,26,0.619,0.9854131667484242
story_v2_1k,others,persona_v2+harm_v2+eval_v2,27,0.6429,0.9863442808091659
story_v2_1k,others,persona_v2+harm_v2+eval_v2,28,0.6667,0.9836978229826723
story_v2_1k,others,persona_v2+harm_v2+eval_v2,29,0.6905,0.9813272109588449
story_v2_1k,others,persona_v2+harm_v2+eval_v2,30,0.7143,0.9824505820416701
story_v2_1k,others,persona_v2+harm_v2+eval_v2,31,0.7381,0.9793453618536623
story_v2_1k,others,persona_v2+harm_v2+eval_v2,32,0.7619,0.977704159645814
story_v2_1k,others,persona_v2+harm_v2+eval_v2,33,0.7857,0.9805286738944412
story_v2_1k,others,persona_v2+harm_v2+eval_v2,34,0.8095,0.9819245409496808
story_v2_1k,others,persona_v2+harm_v2+eval_v2,35,0.8333,0.9810710348791453
story_v2_1k,others,persona_v2+harm_v2+eval_v2,36,0.8571,0.9818790344039324
story_v2_1k,others,persona_v2+harm_v2+eval_v2,37,0.881,0.9805204709872546
story_v2_1k,others,persona_v2+harm_v2+eval_v2,38,0.9048,0.9779164650329056
story_v2_1k,others,persona_v2+harm_v2+eval_v2,39,0.9286,0.9753050214203537
story_v2_1k,others,persona_v2+harm_v2+eval_v2,40,0.9524,0.9723390413809399
story_v2_1k,others,persona_v2+harm_v2+eval_v2,41,0.9762,0.9620566602862132
story_v2_1k,others,persona_v2+harm_v2+eval_v2,42,1.0,0.9527975791369881
persona_v2,others,story_v2_1k+harm_v2+eval_v2,0,0.0,0.0
persona_v2,others,story_v2_1k+harm_v2+eval_v2,1,0.0238,0.9697756079082384
persona_v2,others,story_v2_1k+harm_v2+eval_v2,2,0.0476,0.9981212851234906
persona_v2,others,story_v2_1k+harm_v2+eval_v2,3,0.0714,0.9820260259863395
persona_v2,others,story_v2_1k+harm_v2+eval_v2,4,0.0952,0.9863034867405253
persona_v2,others,story_v2_1k+harm_v2+eval_v2,5,0.119,0.9930563214688132
persona_v2,others,story_v2_1k+harm_v2+eval_v2,6,0.1429,0.9883783916972996
persona_v2,others,story_v2_1k+harm_v2+eval_v2,7,0.1667,0.996859668050162
