probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
eval,eval,18,0.6429,0.6069230769230769,0.26888373334254545,1.0,diag_heldout,1.0,15,0,15,1.0,1.2412663679156792,1.2412663679156792,,0.3930769230769231,0.9723826345731338,0.9777777777777779,1.0,1.2937778269481324,0.3798290598290599,,,
eval,eval,18,0.6429,0.6069230769230769,0.26888373334254545,1.0,diag_lopo,0.96,48,0,50,0.96,1.4459625446485926,1.4459625446485926,,0.35307692307692307,1.177078811306047,0.9493333333333335,0.98,1.4252310504854424,0.3513846153846154,,,
eval,harm,18,0.6429,0.7007692307692307,0.5431816744904787,-0.08375105097371945,offdiag_pooled,0.26153846153846155,17,0,65,0.7384615384615385,-0.5233184187027504,0.5233184187027504,,0.0376923076923078,-0.019863255787728296,0.5825641025641025,0.9076923076923077,0.2386692469612879,0.007128205128205156,,,
eval,length,18,0.6429,0.7716666666666666,0.9167452859655902,0.23758019067454988,offdiag_pooled,1.0,30,0,30,1.0,4.875326625702595,4.875326625702595,,0.2283333333333334,3.9585813397370044,1.0,1.0,3.4534389480848784,0.25366666666666665,,,
eval,persona,18,0.6429,0.6815384615384615,0.43567421123967265,0.25605462348312635,offdiag_pooled,0.9846153846153847,64,0,65,0.9846153846153847,1.7689753331975238,1.7689753331975238,,0.30307692307692313,1.333301121957851,0.9333333333333336,1.0,1.4192807565276717,0.24051282051282055,,,
eval,story_v1,18,0.6429,0.8007692307692308,1.0724392054042213,-0.030859977210226798,offdiag_pooled,0.26153846153846155,17,0,65,0.7384615384615385,-0.5144793020353541,0.5144793020353541,,-0.062307692307692286,-0.5579599033688672,0.1487179487179487,0.9538461538461538,-1.0617942369986946,0.09220512820512819,,,
eval,story_v2,18,0.6429,0.7984615384615383,1.1317981046481653,-0.0431607944387659,offdiag_pooled,0.13846153846153847,9,0,65,0.8615384615384616,-1.207112203546775,1.207112203546775,,0.06307692307692325,0.07531409889860963,0.24205128205128204,0.9692307692307692,-0.9000601751609189,0.015282051282051274,,,
harm,eval,18,0.6429,0.6069230769230769,0.26888373334254545,-0.08375105097371945,offdiag_pooled,0.4307692307692308,28,0,65,0.5692307692307692,-0.244465738349004,0.244465738349004,0.7,-0.03769230769230769,-0.024417994993541442,0.5292307692307692,0.676923076923077,0.019123313339924754,-0.01948717948717947,,,
harm,harm,18,0.6429,0.7007692307692307,0.5431816744904787,0.9999999999999998,diag_heldout,1.0,15,0,15,1.0,1.7049636953136047,1.7049636953136047,,0.2992307692307693,1.161782020823126,0.9600000000000001,1.0,1.8689587924320443,0.2614871794871795,,,
harm,harm,18,0.6429,0.7007692307692307,0.5431816744904787,0.9999999999999998,diag_lopo,1.0,50,0,50,1.0,2.2299816444400413,2.2299816444400413,,0.2992307692307693,1.6867999699495626,0.9866666666666667,1.0,2.2453694148759435,0.2881538461538462,,,
harm,length,18,0.6429,0.7716666666666666,0.9167452859655902,0.07501450931945956,offdiag_pooled,0.7666666666666667,23,0,30,0.7666666666666667,1.0306419905437578,1.0306419905437578,,-0.004999999999999893,0.11389670457816758,0.7511111111111112,1.0,1.4844196921641106,0.04922222222222224,,,
harm,persona,18,0.6429,0.6815384615384615,0.43567421123967265,-0.20184131824889126,offdiag_pooled,0.35384615384615387,23,0,65,0.6461538461538461,-0.4190186640638456,0.4190186640638456,,-0.03538461538461546,-0.016655547175827068,0.5497435897435898,0.9846153846153847,0.23756593252041644,-0.03538461538461536,,,
harm,story_v1,18,0.6429,0.8007692307692308,1.0724392054042213,-0.10660389768874316,offdiag_pooled,0.18461538461538463,12,0,65,0.8153846153846154,-0.5617515503653321,0.5617515503653321,,0.014615384615384586,-0.5106876550388892,0.5158974358974359,0.8615384615384616,-0.16969066190496832,-0.1036923076923077,,,
harm,story_v2,18,0.6429,0.7984615384615383,1.1317981046481653,0.005080368010198041,offdiag_pooled,0.6,39,0,65,0.6,0.14886076078499588,0.14886076078499588,0.75,-0.19846153846153836,-0.9829373438631694,0.8000000000000002,0.9538461538461539,0.8974070932948047,0.03989743589743592,,,
length,eval,18,0.6429,0.6069230769230769,0.26888373334254545,0.23758019067454988,offdiag_pooled,0.8923076923076924,58,0,65,0.8923076923076924,1.0806125266578648,1.0806125266578648,,0.28538461538461546,0.8117287933153193,0.8451282051282053,0.9230769230769231,0.8825293451307857,0.24717948717948726,,,
