probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
eval,eval,14,0.5,0.6046153846153846,0.23956839573526315,1.0000000000000002,diag_heldout,0.8,12,0,15,0.8,1.0295450945483848,1.0295450945483848,,0.1953846153846155,0.7899766988131217,0.9777777777777779,1.0,1.2937778269481324,0.3798290598290599,,,
eval,eval,14,0.5,0.6046153846153846,0.23956839573526315,1.0000000000000002,diag_lopo,0.98,49,0,50,0.98,1.4520947600128689,1.4520947600128689,,0.3753846153846154,1.2125263642776056,0.9493333333333335,0.98,1.4252310504854424,0.3513846153846154,,,
eval,harm,14,0.5,0.6715384615384614,0.4200718195484012,-0.030378732536471265,offdiag_pooled,0.49230769230769234,32,0,65,0.5076923076923077,-0.14659242100672956,0.14659242100672956,0.65,-0.16384615384615375,-0.2734793985416717,0.5825641025641025,0.9076923076923077,0.2386692469612879,0.007128205128205156,,,
eval,length,14,0.5,0.8400000000000001,1.2846215484478845,0.24575921968318307,offdiag_pooled,1.0,30,0,30,1.0,4.0380761313656075,4.0380761313656075,,0.15999999999999992,2.753454582917723,1.0,1.0,3.4534389480848784,0.25366666666666665,,,
eval,persona,14,0.5,0.7553846153846153,0.8400252987697983,0.1702489976254344,offdiag_pooled,0.9846153846153847,64,0,65,0.9846153846153847,1.6412205850685013,1.6412205850685013,,0.22923076923076935,0.8011952862987031,0.9333333333333336,1.0,1.4192807565276717,0.24051282051282055,,,
eval,story_v1,14,0.5,0.7607692307692309,0.8441455430551464,-0.07691969983023368,offdiag_pooled,0.1076923076923077,7,0,65,0.8923076923076922,-1.3224664766074936,1.3224664766074936,,0.13153846153846138,0.47832093355234717,0.1487179487179487,0.9538461538461538,-1.0617942369986946,0.09220512820512819,,,
eval,story_v2,14,0.5,0.7892307692307692,0.947952136748131,-0.05260947512943122,offdiag_pooled,0.13846153846153847,9,0,65,0.8615384615384616,-1.1147556658285362,1.1147556658285362,,0.0723076923076924,0.1668035290804053,0.24205128205128204,0.9692307692307692,-0.9000601751609189,0.015282051282051274,,,
harm,eval,21,0.75,0.6138461538461538,0.24659184543515483,0.13267958714874523,offdiag_pooled,0.5692307692307692,37,0,65,0.5692307692307692,0.11574688648618481,0.11574688648618481,0.7,-0.04461538461538461,-0.13084495894897002,0.5292307692307692,0.676923076923077,0.019123313339924754,-0.01948717948717947,,,
harm,harm,21,0.75,0.7192307692307692,0.6209806173873778,1.0,diag_heldout,1.0,15,0,15,1.0,2.6521639190618815,2.6521639190618815,,0.28076923076923077,2.0311833016745036,0.9600000000000001,1.0,1.8689587924320443,0.2614871794871795,,,
harm,harm,21,0.75,0.7192307692307692,0.6209806173873778,1.0,diag_lopo,1.0,50,0,50,1.0,2.6583491322214106,2.6583491322214106,,0.28076923076923077,2.037368514834033,0.9866666666666667,1.0,2.2453694148759435,0.2881538461538462,,,
