axis,basis,basis_axes,layer,depth,resid_frac
story_v2,others,harm+persona+eval+length,0,0.0,0.0
story_v2,others,harm+persona+eval+length,1,0.0357,0.9653506143742538
story_v2,others,harm+persona+eval+length,2,0.0714,0.9463219297948913
story_v2,others,harm+persona+eval+length,3,0.1071,0.9342317852626362
story_v2,others,harm+persona+eval+length,4,0.1429,0.9300964267192151
story_v2,others,harm+persona+eval+length,5,0.1786,0.9768080715550381
story_v2,others,harm+persona+eval+length,6,0.2143,0.9752198211893764
story_v2,others,harm+persona+eval+length,7,0.25,0.9845915606769173
story_v2,others,harm+persona+eval+length,8,0.2857,0.9869179682314263
story_v2,others,harm+persona+eval+length,9,0.3214,0.9827626148492697
story_v2,others,harm+persona+eval+length,10,0.3571,0.9885207710266676
story_v2,others,harm+persona+eval+length,11,0.3929,0.9858719823186667
story_v2,others,harm+persona+eval+length,12,0.4286,0.9865118987235776
story_v2,others,harm+persona+eval+length,13,0.4643,0.9790688937646566
story_v2,others,harm+persona+eval+length,14,0.5,0.9814603382977358
story_v2,others,harm+persona+eval+length,15,0.5357,0.979463033634871
story_v2,others,harm+persona+eval+length,16,0.5714,0.9821951086395565
story_v2,others,harm+persona+eval+length,17,0.6071,0.9852126488057186
story_v2,others,harm+persona+eval+length,18,0.6429,0.9843174971311314
story_v2,others,harm+persona+eval+length,19,0.6786,0.9819692123868315
story_v2,others,harm+persona+eval+length,20,0.7143,0.9746623916222605
story_v2,others,harm+persona+eval+length,21,0.75,0.9775723635775284
story_v2,others,harm+persona+eval+length,22,0.7857,0.9804711927189497
story_v2,others,harm+persona+eval+length,23,0.8214,0.9813473893536055
story_v2,others,harm+persona+eval+length,24,0.8571,0.984186746050242
story_v2,others,harm+persona+eval+length,25,0.8929,0.980628638496313
story_v2,others,harm+persona+eval+length,26,0.9286,0.9821676821791343
story_v2,others,harm+persona+eval+length,27,0.9643,0.9794850114552456
story_v2,others,harm+persona+eval+length,28,1.0,0.941114552431363
story_v1,others,harm+persona+eval+length,0,0.0,0.0
story_v1,others,harm+persona+eval+length,1,0.0357,0.9581277428925012
story_v1,others,harm+persona+eval+length,2,0.0714,0.9452883209641167
story_v1,others,harm+persona+eval+length,3,0.1071,0.9698610431062603
story_v1,others,harm+persona+eval+length,4,0.1429,0.9483522512736225
story_v1,others,harm+persona+eval+length,5,0.1786,0.9758427835970139
story_v1,others,harm+persona+eval+length,6,0.2143,0.9856010157493087
story_v1,others,harm+persona+eval+length,7,0.25,0.9849773248084656
story_v1,others,harm+persona+eval+length,8,0.2857,0.9946819251925841
story_v1,others,harm+persona+eval+length,9,0.3214,0.9901539700712202
story_v1,others,harm+persona+eval+length,10,0.3571,0.9963751983992031
story_v1,others,harm+persona+eval+length,11,0.3929,0.9955407997950022
story_v1,others,harm+persona+eval+length,12,0.4286,0.9953974548379679
story_v1,others,harm+persona+eval+length,13,0.4643,0.9838543922394165
story_v1,others,harm+persona+eval+length,14,0.5,0.9811228492269227
story_v1,others,harm+persona+eval+length,15,0.5357,0.9782480153835695
story_v1,others,harm+persona+eval+length,16,0.5714,0.9765504237789178
story_v1,others,harm+persona+eval+length,17,0.6071,0.9771507286650475
story_v1,others,harm+persona+eval+length,18,0.6429,0.972216788207808
story_v1,others,harm+persona+eval+length,19,0.6786,0.9790569015632216
story_v1,others,harm+persona+eval+length,20,0.7143,0.9632868512405455
story_v1,others,harm+persona+eval+length,21,0.75,0.9705103863132514
story_v1,others,harm+persona+eval+length,22,0.7857,0.9651739299671526
story_v1,others,harm+persona+eval+length,23,0.8214,0.9699575360583285
story_v1,others,harm+persona+eval+length,24,0.8571,0.9730821515557724
story_v1,others,harm+persona+eval+length,25,0.8929,0.973304105312963
story_v1,others,harm+persona+eval+length,26,0.9286,0.971951506671978
story_v1,others,harm+persona+eval+length,27,0.9643,0.9717851882773652
story_v1,others,harm+persona+eval+length,28,1.0,0.9358869356956865
story_v1,story_v2,story_v2,0,0.0,0.0
story_v1,story_v2,story_v2,1,0.0357,0.7001076227958615
story_v1,story_v2,story_v2,2,0.0714,0.6655453232625348
story_v1,story_v2,story_v2,3,0.1071,0.6813293117260886
story_v1,story_v2,story_v2,4,0.1429,0.6350736842331359
story_v1,story_v2,story_v2,5,0.1786,0.6549874308981671
story_v1,story_v2,story_v2,6,0.2143,0.7119608564272367
story_v1,story_v2,story_v2,7,0.25,0.6868751095721278
story_v1,story_v2,story_v2,8,0.2857,0.6986116971080902
story_v1,story_v2,story_v2,9,0.3214,0.6673096657521183
story_v1,story_v2,story_v2,10,0.3571,0.6897717675710564
story_v1,story_v2,story_v2,11,0.3929,0.682454033507573
story_v1,story_v2,story_v2,12,0.4286,0.693201452237643
story_v1,story_v2,story_v2,13,0.4643,0.6942792439997393
story_v1,story_v2,story_v2,14,0.5,0.5829797297791877
story_v1,story_v2,story_v2,15,0.5357,0.5777385812899218
story_v1,story_v2,story_v2,16,0.5714,0.5557808536152781
story_v1,story_v2,story_v2,17,0.6071,0.5871038869570034
story_v1,story_v2,story_v2,18,0.6429,0.5864350131021682
story_v1,story_v2,story_v2,19,0.6786,0.6509074794200226
story_v1,story_v2,story_v2,20,0.7143,0.6570344659101204
story_v1,story_v2,story_v2,21,0.75,0.6689986889123584
story_v1,story_v2,story_v2,22,0.7857,0.6918533962191208
story_v1,story_v2,story_v2,23,0.8214,0.6937916259613874
story_v1,story_v2,story_v2,24,0.8571,0.7002718350191598
story_v1,story_v2,story_v2,25,0.8929,0.6991000374206903
story_v1,story_v2,story_v2,26,0.9286,0.7234913020958356
story_v1,story_v2,story_v2,27,0.9643,0.7357764750044841
story_v1,story_v2,story_v2,28,1.0,0.6951274864522654
harm,others,story_v2+persona+eval+length,0,0.0,0.0
harm,others,story_v2+persona+eval+length,1,0.0357,0.9577914815563418
harm,others,story_v2+persona+eval+length,2,0.0714,0.9240516018947738
harm,others,story_v2+persona+eval+length,3,0.1071,0.955265540746471
harm,others,story_v2+persona+eval+length,4,0.1429,0.9365208341165173
harm,others,story_v2+persona+eval+length,5,0.1786,0.9543375635589102
harm,others,story_v2+persona+eval+length,6,0.2143,0.9199074964742883
harm,others,story_v2+persona+eval+length,7,0.25,0.9093219253250172
harm,others,story_v2+persona+eval+length,8,0.2857,0.908460403374439
harm,others,story_v2+persona+eval+length,9,0.3214,0.9040574538889337
harm,others,story_v2+persona+eval+length,10,0.3571,0.9355076273227567
harm,others,story_v2+persona+eval+length,11,0.3929,0.9309971305206776
harm,others,story_v2+persona+eval+length,12,0.4286,0.9386521061958698
harm,others,story_v2+persona+eval+length,13,0.4643,0.9330702615814501
harm,others,story_v2+persona+eval+length,14,0.5,0.9778261826646415
harm,others,story_v2+persona+eval+length,15,0.5357,0.9734128464835957
harm,others,story_v2+persona+eval+length,16,0.5714,0.9389429852139058
harm,others,story_v2+persona+eval+length,17,0.6071,0.9664385711637457
harm,others,story_v2+persona+eval+length,18,0.6429,0.9670046285472885
harm,others,story_v2+persona+eval+length,19,0.6786,0.9915246515360313
harm,others,story_v2+persona+eval+length,20,0.7143,0.9898752265904409
harm,others,story_v2+persona+eval+length,21,0.75,0.9848652853119052
harm,others,story_v2+persona+eval+length,22,0.7857,0.9952832858025003
harm,others,story_v2+persona+eval+length,23,0.8214,0.9938109668605598
harm,others,story_v2+persona+eval+length,24,0.8571,0.9924468482786454
harm,others,story_v2+persona+eval+length,25,0.8929,0.9867481100140015
harm,others,story_v2+persona+eval+length,26,0.9286,0.989302005703137
harm,others,story_v2+persona+eval+length,27,0.9643,0.9902584583989539
harm,others,story_v2+persona+eval+length,28,1.0,0.9778675207192141
harm,story_v2,story_v2,0,0.0,0.0
harm,story_v2,story_v2,1,0.0357,0.9985877103517357
harm,story_v2,story_v2,2,0.0714,0.9947108135506953
harm,story_v2,story_v2,3,0.1071,0.9992374595690541
harm,story_v2,story_v2,4,0.1429,0.999405152519081
harm,story_v2,story_v2,5,0.1786,0.9999481016459257
harm,story_v2,story_v2,6,0.2143,0.9953272678695312
harm,story_v2,story_v2,7,0.25,0.9993136428128246
harm,story_v2,story_v2,8,0.2857,0.9994317985022964
harm,story_v2,story_v2,9,0.3214,0.9976088926279726
harm,story_v2,story_v2,10,0.3571,0.9998656433949443
harm,story_v2,story_v2,11,0.3929,0.9982240707884741
harm,story_v2,story_v2,12,0.4286,0.9990596993380829
harm,story_v2,story_v2,13,0.4643,0.9984723729742091
harm,story_v2,story_v2,14,0.5,0.9943436622835221
harm,story_v2,story_v2,15,0.5357,0.999288023636719
harm,story_v2,story_v2,16,0.5714,0.9999637691609482
harm,story_v2,story_v2,17,0.6071,0.9999907610944183
harm,story_v2,story_v2,18,0.6429,0.9999870948413813
harm,story_v2,story_v2,19,0.6786,0.9962929512608566
harm,story_v2,story_v2,20,0.7143,0.9971497242835938
harm,story_v2,story_v2,21,0.75,0.9956112159809162
harm,story_v2,story_v2,22,0.7857,0.999134785764861
harm,story_v2,story_v2,23,0.8214,0.9981082101920657
harm,story_v2,story_v2,24,0.8571,0.9975183342490282
harm,story_v2,story_v2,25,0.8929,0.9965813547671213
harm,story_v2,story_v2,26,0.9286,0.9970285816949315
harm,story_v2,story_v2,27,0.9643,0.9974710916204329
harm,story_v2,story_v2,28,1.0,0.9890193963783751
persona,others,story_v2+harm+eval+length,0,0.0,0.0
persona,others,story_v2+harm+eval+length,1,0.0357,0.9755598353848322
persona,others,story_v2+harm+eval+length,2,0.0714,0.96540423838685
persona,others,story_v2+harm+eval+length,3,0.1071,0.9867870658261331
persona,others,story_v2+harm+eval+length,4,0.1429,0.983723428946648
persona,others,story_v2+harm+eval+length,5,0.1786,0.9589388298468904
persona,others,story_v2+harm+eval+length,6,0.2143,0.9435075779121717
persona,others,story_v2+harm+eval+length,7,0.25,0.9439890448865527
persona,others,story_v2+harm+eval+length,8,0.2857,0.9511743140455584
persona,others,story_v2+harm+eval+length,9,0.3214,0.9595203694652
persona,others,story_v2+harm+eval+length,10,0.3571,0.9502238859140064
persona,others,story_v2+harm+eval+length,11,0.3929,0.965026454369239
persona,others,story_v2+harm+eval+length,12,0.4286,0.9638620273122768
persona,others,story_v2+harm+eval+length,13,0.4643,0.9636250355033881
persona,others,story_v2+harm+eval+length,14,0.5,0.9614435151865411
persona,others,story_v2+harm+eval+length,15,0.5357,0.9412989062522611
persona,others,story_v2+harm+eval+length,16,0.5714,0.9068969040454316
persona,others,story_v2+harm+eval+length,17,0.6071,0.9227692831616053
persona,others,story_v2+harm+eval+length,18,0.6429,0.9040290869343022
persona,others,story_v2+harm+eval+length,19,0.6786,0.9106937403403341
persona,others,story_v2+harm+eval+length,20,0.7143,0.9110574062870774
persona,others,story_v2+harm+eval+length,21,0.75,0.9242962350722721
persona,others,story_v2+harm+eval+length,22,0.7857,0.9289680582563771
persona,others,story_v2+harm+eval+length,23,0.8214,0.9346409846881741
persona,others,story_v2+harm+eval+length,24,0.8571,0.9419824314891065
persona,others,story_v2+harm+eval+length,25,0.8929,0.9473118495329618
persona,others,story_v2+harm+eval+length,26,0.9286,0.9457077884529926
persona,others,story_v2+harm+eval+length,27,0.9643,0.9501993351660194
persona,others,story_v2+harm+eval+length,28,1.0,0.9462694173614987
persona,story_v2,story_v2,0,0.0,0.0
persona,story_v2,story_v2,1,0.0357,0.9986975634508997
persona,story_v2,story_v2,2,0.0714,0.9993540024612513
persona,story_v2,story_v2,3,0.1071,0.9999990972226325
persona,story_v2,story_v2,4,0.1429,0.9997610748404737
persona,story_v2,story_v2,5,0.1786,0.9986301449776624
persona,story_v2,story_v2,6,0.2143,0.997770871203823
persona,story_v2,story_v2,7,0.25,0.9978192064866498
persona,story_v2,story_v2,8,0.2857,0.9976086337724157
persona,story_v2,story_v2,9,0.3214,0.9990135228346683
persona,story_v2,story_v2,10,0.3571,0.9962846659515817
persona,story_v2,story_v2,11,0.3929,0.9976453741873228
persona,story_v2,story_v2,12,0.4286,0.997565953214922
persona,story_v2,story_v2,13,0.4643,0.9997000300686392
persona,story_v2,story_v2,14,0.5,0.9990905386218359
persona,story_v2,story_v2,15,0.5357,0.9973542186597333
persona,story_v2,story_v2,16,0.5714,0.9957202820915786
persona,story_v2,story_v2,17,0.6071,0.9942922983951036
persona,story_v2,story_v2,18,0.6429,0.9919376025415738
persona,story_v2,story_v2,19,0.6786,0.9921315155481379
persona,story_v2,story_v2,20,0.7143,0.9818989988141322
persona,story_v2,story_v2,21,0.75,0.9849808302433483
persona,story_v2,story_v2,22,0.7857,0.9838691989728355
persona,story_v2,story_v2,23,0.8214,0.9873138855575251
persona,story_v2,story_v2,24,0.8571,0.9892665803534184
persona,story_v2,story_v2,25,0.8929,0.9889989261440035
persona,story_v2,story_v2,26,0.9286,0.9889037024938744
persona,story_v2,story_v2,27,0.9643,0.9875649087935815
persona,story_v2,story_v2,28,1.0,0.9787396550873597
eval,others,story_v2+harm+persona+length,0,0.0,0.0
eval,others,story_v2+harm+persona+length,1,0.0357,0.9562175058661061
eval,others,story_v2+harm+persona+length,2,0.0714,0.9594115318288629
eval,others,story_v2+harm+persona+length,3,0.1071,0.9531950216375253
eval,others,story_v2+harm+persona+length,4,0.1429,0.9640511292293196
eval,others,story_v2+harm+persona+length,5,0.1786,0.9701688594500191
eval,others,story_v2+harm+persona+length,6,0.2143,0.9420613662997518
eval,others,story_v2+harm+persona+length,7,0.25,0.9590143774629564
eval,others,story_v2+harm+persona+length,8,0.2857,0.9773313222761114
eval,others,story_v2+harm+persona+length,9,0.3214,0.9618895519472711
eval,others,story_v2+harm+persona+length,10,0.3571,0.9424907294820782
eval,others,story_v2+harm+persona+length,11,0.3929,0.9425196302026563
eval,others,story_v2+harm+persona+length,12,0.4286,0.9448284933294703
eval,others,story_v2+harm+persona+length,13,0.4643,0.9307526175302978
eval,others,story_v2+harm+persona+length,14,0.5,0.9599485194137513
eval,others,story_v2+harm+persona+length,15,0.5357,0.9583514185514129
eval,others,story_v2+harm+persona+length,16,0.5714,0.9391191439898133
eval,others,story_v2+harm+persona+length,17,0.6071,0.9511496886980959
eval,others,story_v2+harm+persona+length,18,0.6429,0.9477826751320365
eval,others,story_v2+harm+persona+length,19,0.6786,0.9309198993315088
eval,others,story_v2+harm+persona+length,20,0.7143,0.9351188002814058
eval,others,story_v2+harm+persona+length,21,0.75,0.9380605253127414
eval,others,story_v2+harm+persona+length,22,0.7857,0.9508882702257803
eval,others,story_v2+harm+persona+length,23,0.8214,0.940054208255838
eval,others,story_v2+harm+persona+length,24,0.8571,0.9401828067830346
eval,others,story_v2+harm+persona+length,25,0.8929,0.9433793881504772
eval,others,story_v2+harm+persona+length,26,0.9286,0.9447526851483915
eval,others,story_v2+harm+persona+length,27,0.9643,0.9464930176575789
eval,others,story_v2+harm+persona+length,28,1.0,0.9432427922258352
eval,story_v2,story_v2,0,0.0,0.0
eval,story_v2,story_v2,1,0.0357,0.9674955441509414
eval,story_v2,story_v2,2,0.0714,0.967622486675013
eval,story_v2,story_v2,3,0.1071,0.9578717415324051
eval,story_v2,story_v2,4,0.1429,0.9648458637911913
eval,story_v2,story_v2,5,0.1786,0.9904801758617252
eval,story_v2,story_v2,6,0.2143,0.9856428700961729
eval,story_v2,story_v2,7,0.25,0.9892790153052462
eval,story_v2,story_v2,8,0.2857,0.9968730699003977
eval,story_v2,story_v2,9,0.3214,0.9957739186131682
eval,story_v2,story_v2,10,0.3571,0.9958497264913446
eval,story_v2,story_v2,11,0.3929,0.9956053192888347
eval,story_v2,story_v2,12,0.4286,0.9961587826553173
eval,story_v2,story_v2,13,0.4643,0.9935724486685509
eval,story_v2,story_v2,14,0.5,0.9986151627177848
eval,story_v2,story_v2,15,0.5357,0.9970340935689229
eval,story_v2,story_v2,16,0.5714,0.9974192648410699
eval,story_v2,story_v2,17,0.6071,0.9974807056922853
eval,story_v2,story_v2,18,0.6429,0.999068138779079
eval,story_v2,story_v2,19,0.6786,0.9999365790178891
eval,story_v2,story_v2,20,0.7143,0.9999584317533892
eval,story_v2,story_v2,21,0.75,0.9997779575902037
eval,story_v2,story_v2,22,0.7857,0.9999957680973112
eval,story_v2,story_v2,23,0.8214,0.9997169218135917
eval,story_v2,story_v2,24,0.8571,0.9999157709138605
eval,story_v2,story_v2,25,0.8929,0.9989282573706931
eval,story_v2,story_v2,26,0.9286,0.998814756100817
eval,story_v2,story_v2,27,0.9643,0.9983113828532988
eval,story_v2,story_v2,28,1.0,0.9836047064421843
length,others,story_v2+harm+persona+eval,0,0.0,0.0
length,others,story_v2+harm+persona+eval,1,0.0357,0.9665319144104577
length,others,story_v2+harm+persona+eval,2,0.0714,0.9000861974764109
length,others,story_v2+harm+persona+eval,3,0.1071,0.9232674136011393
length,others,story_v2+harm+persona+eval,4,0.1429,0.8983119195904059
length,others,story_v2+harm+persona+eval,5,0.1786,0.9218525232545097
length,others,story_v2+harm+persona+eval,6,0.2143,0.8940234054063726
length,others,story_v2+harm+persona+eval,7,0.25,0.9072458776250509
length,others,story_v2+harm+persona+eval,8,0.2857,0.9118933484843988
length,others,story_v2+harm+persona+eval,9,0.3214,0.8926348775182186
length,others,story_v2+harm+persona+eval,10,0.3571,0.8615098976746135
length,others,story_v2+harm+persona+eval,11,0.3929,0.8812860266591074
length,others,story_v2+harm+persona+eval,12,0.4286,0.8971422380365804
length,others,story_v2+harm+persona+eval,13,0.4643,0.8711528497022688
length,others,story_v2+harm+persona+eval,14,0.5,0.9263757301521889
length,others,story_v2+harm+persona+eval,15,0.5357,0.9221182442709985
length,others,story_v2+harm+persona+eval,16,0.5714,0.9163220333460386
length,others,story_v2+harm+persona+eval,17,0.6071,0.9283950393972386
length,others,story_v2+harm+persona+eval,18,0.6429,0.9291203681823803
length,others,story_v2+harm+persona+eval,19,0.6786,0.9398410145464936
length,others,story_v2+harm+persona+eval,20,0.7143,0.9431252141032263
length,others,story_v2+harm+persona+eval,21,0.75,0.9551191206903582
length,others,story_v2+harm+persona+eval,22,0.7857,0.9522118476942599
length,others,story_v2+harm+persona+eval,23,0.8214,0.9480363235533195
length,others,story_v2+harm+persona+eval,24,0.8571,0.9487185845555527
length,others,story_v2+harm+persona+eval,25,0.8929,0.9500392264699958
length,others,story_v2+harm+persona+eval,26,0.9286,0.942807198435585
length,others,story_v2+harm+persona+eval,27,0.9643,0.9367848644534611
length,others,story_v2+harm+persona+eval,28,1.0,0.9266658794782507
length,story_v2,story_v2,0,0.0,0.0
length,story_v2,story_v2,1,0.0357,0.9983605336195958
length,story_v2,story_v2,2,0.0714,0.9781752869539253
length,story_v2,story_v2,3,0.1071,0.9720569332245578
length,story_v2,story_v2,4,0.1429,0.9666995922142502
length,story_v2,story_v2,5,0.1786,0.9891207234557503
length,story_v2,story_v2,6,0.2143,0.9830401483887509
length,story_v2,story_v2,7,0.25,0.9924443381217694
length,story_v2,story_v2,8,0.2857,0.9895454060981256
length,story_v2,story_v2,9,0.3214,0.9924967681439137
length,story_v2,story_v2,10,0.3571,0.9933646996283051
length,story_v2,story_v2,11,0.3929,0.9943914245481293
length,story_v2,story_v2,12,0.4286,0.9931170815599356
length,story_v2,story_v2,13,0.4643,0.9875043466454791
length,story_v2,story_v2,14,0.5,0.9927604706908267
length,story_v2,story_v2,15,0.5357,0.9901442104351309
length,story_v2,story_v2,16,0.5714,0.9940920427993952
length,story_v2,story_v2,17,0.6071,0.9974294930765484
length,story_v2,story_v2,18,0.6429,0.9983506376603662
length,story_v2,story_v2,19,0.6786,0.998466051080989
length,story_v2,story_v2,20,0.7143,0.9999122567134648
length,story_v2,story_v2,21,0.75,0.9996553206122901
length,story_v2,story_v2,22,0.7857,0.9999172505209933
length,story_v2,story_v2,23,0.8214,0.9995298135087041
length,story_v2,story_v2,24,0.8571,0.9995452867258049
length,story_v2,story_v2,25,0.8929,0.9984806920650854
length,story_v2,story_v2,26,0.9286,0.9990755388230881
length,story_v2,story_v2,27,0.9643,0.9979682395920673
length,story_v2,story_v2,28,1.0,0.9929962233601382
