axis,layer,depth,n_half,split_cos,reliability
story_v2,0,0.0,25,0.0,nan
story_v2,1,0.0357,25,0.9304860088597381,0.9639914556120917
story_v2,2,0.0714,25,0.9053650121451017,0.9503323577101083
story_v2,3,0.1071,25,0.9011467438743401,0.9480033530056668
story_v2,4,0.1429,25,0.9153901235782969,0.9558262959695978
story_v2,5,0.1786,25,0.9354604746256641,0.9666541754685957
story_v2,6,0.2143,25,0.9319422298679384,0.9647723575374644
story_v2,7,0.25,25,0.9391028103626258,0.968595172307555
story_v2,8,0.2857,25,0.9415368008792422,0.9698881838890294
story_v2,9,0.3214,25,0.9557960668787335,0.9773984957481728
story_v2,10,0.3571,25,0.9622822973435218,0.9807786562068366
story_v2,11,0.3929,25,0.9660114844771698,0.9827119445683864
story_v2,12,0.4286,25,0.9612289511574016,0.9802312479531174
story_v2,13,0.4643,25,0.9650467509381674,0.9822125101882971
story_v2,14,0.5,25,0.9781675612779793,0.9889633016184353
story_v2,15,0.5357,25,0.9819411862727003,0.9908883200710604
story_v2,16,0.5714,25,0.9818918540828393,0.9908632018039448
story_v2,17,0.6071,25,0.9809889003639154,0.9904032275836617
story_v2,18,0.6429,25,0.9795813185638094,0.9896853535418265
story_v2,19,0.6786,25,0.970577570984771,0.985069134324651
story_v2,20,0.7143,25,0.97298685219498,0.9863085008524171
story_v2,21,0.75,25,0.9719861049561482,0.9857940707728898
story_v2,22,0.7857,25,0.9680128005193459,0.9837464474457621
story_v2,23,0.8214,25,0.96251761505224,0.9809008669984538
story_v2,24,0.8571,25,0.9591488763302363,0.9791485352831972
story_v2,25,0.8929,25,0.9540616172375369,0.976490821805606
story_v2,26,0.9286,25,0.9514090451400324,0.9750995543548479
story_v2,27,0.9643,25,0.9450355901332876,0.9717411803950868
story_v2,28,1.0,25,0.9569753648872267,0.9780147282971788
story_v1,0,0.0,25,0.0,nan
story_v1,1,0.0357,25,0.9333036047621173,0.9655013340514154
story_v1,2,0.0714,25,0.9524313887560358,0.9756362187588719
story_v1,3,0.1071,25,0.957217763929224,0.9781412999313432
story_v1,4,0.1429,25,0.9618610911381822,0.9805598321746157
story_v1,5,0.1786,25,0.9661965688361766,0.982807705140167
story_v1,6,0.2143,25,0.9590592566810954,0.9791018351388392
story_v1,7,0.25,25,0.9640580387422598,0.9817001531783874
story_v1,8,0.2857,25,0.9610305839171831,0.9801280936654364
story_v1,9,0.3214,25,0.9643146890563371,0.9818332005851841
story_v1,10,0.3571,25,0.964073397533646,0.9817081161470501
story_v1,11,0.3929,25,0.9629875278169691,0.9811448255994818
story_v1,12,0.4286,25,0.9642992961130019,0.9818252218703925
story_v1,13,0.4643,25,0.9639999467668459,0.9816700334985152
story_v1,14,0.5,25,0.973079589845203,0.986356145847665
story_v1,15,0.5357,25,0.9752521938293444,0.9874710650883126
story_v1,16,0.5714,25,0.9775161487928563,0.9886302565868458
story_v1,17,0.6071,25,0.9704346025283145,0.9849954941748641
