layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.42865843090683253,nan,0.5
1,0.0357,0.94625,0.9282788957656178,0.18674770364420396,1.1041731639476553,0.5050625,0.5549999999999999,-0.6426934003829956,0.6333972811698914,0.014537024311721325,0.825,0.7651160293697914,0.613492239414251,0.6025
2,0.0714,0.9175,0.8962337800813542,0.19845518401296236,0.9898914306252103,0.495875,0.571375,-1.3153144121170044,0.7047150731086731,0.016481412574648857,0.78,0.7161387526864933,0.6647692341772737,0.66
3,0.1071,0.915,0.8934849972887366,0.19980610100480484,1.0225474373985792,0.4959999999999999,0.5643750000000001,-0.8891710042953491,0.660304605960846,0.017598144710063934,0.805,0.7432143124734414,0.8381160917650569,0.6625
4,0.1429,0.94375,0.9254540130590501,0.20026213713045557,1.0955802642401078,0.50275,0.5622500000000001,-1.2323498725891113,0.7200013995170593,0.02063599042594433,0.815,0.7541365375513227,0.7889851174339292,0.665
5,0.1786,0.945,0.9268653430280682,0.21219184323952475,1.0885200908413448,0.5058750000000001,0.5951875000000001,-0.4492853283882141,0.7765013575553894,0.027380889281630516,0.825,0.7651160293697914,0.7973149932798739,0.665
6,0.2143,0.9075,0.8852673355931373,0.2135410499412982,0.9970963585132202,0.499875,0.564125,-0.7385850548744202,0.4868253171443939,0.02623726613819599,0.8,0.7377736354104001,0.8832618290009172,0.5725
7,0.25,0.9125,0.8907411182109253,0.2202917261508259,0.9899571018828834,0.5033749999999999,0.5747500000000001,-1.121198058128357,0.45802831649780273,0.02838771417737007,0.785,0.7215289561159441,0.7007165830873344,0.55
8,0.2857,0.92875,0.9086697595160478,0.23288024986190442,1.065167674551751,0.5085624999999999,0.5741249999999999,-0.9121687412261963,0.6224552989006042,0.0322997011244297,0.855,0.7984385038268207,0.8336423393946418,0.5625
9,0.3214,0.93625,0.9170291324294382,0.2470855795660727,1.1102233632608876,0.49974999999999997,0.5645,-0.5538346171379089,0.7979918122291565,0.044290512800216675,0.92,0.87333514397792,0.9277768305303747,0.635
10,0.3571,0.935,0.9156316377751377,0.2445438759458173,1.0826182154842494,0.5131875000000001,0.56675,-0.8405886292457581,0.7464796304702759,0.03965182229876518,0.9,0.8497872121322454,0.87316504874709,0.625
11,0.3929,0.93875,0.9198296101992824,0.2455935679075341,1.1089299259141916,0.5034375000000001,0.6071875,-0.7598961591720581,0.8599449992179871,0.041751179844141006,0.905,0.8556233600231478,0.947194597327405,0.6675
12,0.4286,0.95,0.9325336322061002,0.25149480752447445,1.1219020779936422,0.49399999999999994,0.5921875000000001,-0.6253135800361633,0.9183940291404724,0.043454188853502274,0.93,0.8853402664628902,1.019715443340146,0.6975
13,0.4643,0.96125,0.9454461671243375,0.2768386194752754,1.2065781438164747,0.508,0.6156875,-0.1544165313243866,1.1322873830795288,0.047851357609033585,0.94,0.8975381686916761,1.0701562635745403,0.74
14,0.5,0.98875,0.97875182327426,0.41709711165692115,1.2568926465768766,0.5021874999999999,0.6670624999999999,-0.09274696558713913,1.019073486328125,0.07954186201095581,0.98,0.9495863909101048,1.0691624760935603,0.7125
15,0.5357,0.9925,0.983747593946152,0.46463704642424786,1.1966664396790785,0.5118125000000001,0.6639375,-0.1594390571117401,0.9343453645706177,0.1134982481598854,0.985,0.9567917180822874,0.9961601250129883,0.7175
16,0.5714,0.99,0.9803915268207586,0.49924525438095907,1.1606642613957567,0.49918749999999995,0.6869375000000002,-0.1907730996608734,0.8899294137954712,0.14562372863292694,0.995,0.9724581015427949,1.0064857958966404,0.735
17,0.6071,0.9775,0.9646727180084906,0.5003950279256923,1.1887799164409323,0.500875,0.6791250000000002,-0.25935980677604675,0.9702772498130798,0.1631496250629425,0.99,0.9643453316027606,1.0262731685595166,0.735
18,0.6429,0.97375,0.9601529198313434,0.5129622082700739,1.2026065795288394,0.51125,0.6826875,-0.34748873114585876,1.0245400667190552,0.18840299546718597,0.99,0.9643453316027606,1.0892908522868918,0.7525
19,0.6786,0.97875,0.9661941460875292,0.5803309977404371,1.4378572962479885,0.49793750000000003,0.7028125000000001,-0.29996106028556824,1.348577857017517,0.2598894536495209,0.99,0.9643453316027606,1.4461730676641178,0.795
20,0.7143,0.98,0.967724007235133,0.5699638487988736,1.4660810831282027,0.5118749999999999,0.702375,-0.2955124080181122,1.4193094968795776,0.3039010465145111,0.99,0.9643453316027606,1.4447248703202538,0.7925
21,0.75,0.97375,0.9601529198313434,0.5851266207665269,1.4803405835744052,0.4960625,0.7148749999999999,-0.2696925401687622,1.4755547046661377,0.365796834230423,0.985,0.9567917180822874,1.4733913182621445,0.79
22,0.7857,0.9725,0.9586594653228933,0.56489893293785,1.4795274530734803,0.5094375,0.6993750000000001,-0.29040607810020447,1.4879837036132812,0.3756802976131439,0.985,0.9567917180822874,1.4342093154414002,0.79
23,0.8214,0.9725,0.9586594653228933,0.5522967022714164,1.4820596630738287,0.5011875,0.7060000000000001,-0.3106890320777893,1.5174509286880493,0.3764747381210327,0.99,0.9643453316027606,1.4231381677459984,0.7875
24,0.8571,0.97125,0.9571718800087967,0.559345738056621,1.470750329109898,0.506625,0.6958125,-0.3522648215293884,1.4998034238815308,0.39697661995887756,0.975,0.9426256488731539,1.4166123116412948,0.79
