layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.5,0.5,0.42865843090683253,nan,0.5
1,0.0357,0.99375,0.9854752894041039,0.5382712261967177,2.1317115488732665,0.5066875000000001,0.6885000000000001,-0.16674718260765076,1.8418972492218018,0.04111424833536148,0.995,0.9925,0.99,0.9643453316027606,1.9817133131196123,0.87
2,0.0714,0.995,0.9872478806115466,0.546410945952523,2.137097026846127,0.48962500000000003,0.66075,-0.2287295162677765,1.6848459243774414,0.03993232175707817,1.0,0.99,0.99,0.9643453316027606,2.138825649711483,0.87
3,0.1071,0.99125,0.9820552005928282,0.5656746291852163,2.288759475285088,0.5089374999999999,0.682625,-0.11920182406902313,1.7359375953674316,0.04972797632217407,0.995,0.9875,1.0,0.9817246596448641,2.2220675685281823,0.8775
4,0.1429,1.0,0.9953995154792554,0.605710913207045,2.77242280656208,0.501,0.7335624999999999,0.030536243692040443,1.8210046291351318,0.0645110160112381,1.0,1.0,1.0,0.9817246596448641,2.472792086854386,0.875
5,0.1786,1.0,0.9953995154792554,0.5756166308987609,2.7193370353035844,0.4971875,0.685125,0.14914381504058838,1.805472493171692,0.07802427560091019,1.0,1.0,1.0,0.9817246596448641,2.655533185639189,0.8675
6,0.2143,0.9775,0.9646727180084906,0.6040771291281349,2.1026303903329366,0.5079374999999999,0.7023125000000001,-0.4730447232723236,1.6105741262435913,0.10052935779094696,0.9825,0.9725,0.99,0.9643453316027606,2.2952860120567107,0.8675
7,0.25,0.9675,0.9527409526875388,0.5953428838417025,1.9262608635227976,0.4955,0.6826874999999999,-0.291392058134079,1.6456189155578613,0.11158968508243561,0.9725,0.9625,0.995,0.9724581015427949,2.4918076434192744,0.9075
8,0.2857,0.97125,0.9571718800087967,0.5937657700314142,2.0519129738433906,0.5070625,0.7154999999999999,-0.1895507127046585,1.6873340606689453,0.11997713893651962,0.9775,0.965,0.995,0.9724581015427949,2.7073823861082453,0.92
9,0.3214,0.98,0.967724007235133,0.5821292339394365,2.08613253133381,0.5063124999999999,0.7043125,-0.1622159332036972,1.795367956161499,0.1405046284198761,0.985,0.975,0.995,0.9724581015427949,2.695227290450047,0.945
10,0.3571,0.96375,0.9483519244348602,0.5697812417597993,1.8555695195407593,0.49712499999999993,0.69425,-0.3765491545200348,1.7377606630325317,0.13694030046463013,0.97,0.9575,1.0,0.9817246596448641,2.2131474645252096,0.92
11,0.3929,0.975,0.9616526405480663,0.5671051230858487,1.859833636717573,0.501,0.653,-0.24465607106685638,1.6930798292160034,0.14058484137058258,0.9775,0.9725,1.0,0.9817246596448641,2.198873008504604,0.925
