layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.42865843090683253,nan,0.5
1,0.0238,0.8325,0.8047847435334097,0.24596990584715336,0.8497570153919348,0.49412500000000004,0.588875,-0.6608652472496033,0.2735239565372467,0.005798580590635538,0.695,0.6261321954662298,0.45247259409274815,0.5175
2,0.0476,0.88875,0.8648875769170292,0.26248422802720356,1.0537918633008516,0.5014375,0.5691875,-0.8874691128730774,0.5926591157913208,0.015017421916127205,0.72,0.6523112627953926,0.7123989764903106,0.5825
3,0.0714,0.89625,0.8730136195002081,0.25175251335924065,1.0559997148215474,0.49574999999999997,0.56225,-0.7505918145179749,0.5489296913146973,0.013195094652473927,0.72,0.6523112627953926,0.6581971682273239,0.6075
4,0.0952,0.9075,0.8852673355931373,0.24610125798934782,1.0700313907491468,0.49975,0.5667500000000001,-0.6923868656158447,0.5525127649307251,0.01565852388739586,0.755,0.6893601341384032,0.7216142091976081,0.6
5,0.119,0.9525,0.9353826765142395,0.26550169020538783,1.0900259308176286,0.5004375,0.5940000000000001,-0.2839803397655487,0.6341002583503723,0.02612350322306156,0.88,0.8267276488358788,0.8348653569043342,0.62
6,0.1429,0.94375,0.9254540130590501,0.25834386911678847,1.0273867868821391,0.50225,0.5901875000000001,-0.4858222007751465,0.5698460340499878,0.0245883259922266,0.885,0.8324530555177454,0.7380472873545403,0.5825
7,0.1667,0.97,0.9556898080136957,0.26388191516754994,1.163423514164558,0.49968749999999995,0.5758125,-0.10974790155887604,0.6982542276382446,0.03240706026554108,0.87,0.8153476694765878,0.9137748876438586,0.6325
8,0.1905,0.95875,0.9425549184812745,0.26135170132071833,1.1070934421786407,0.5128124999999999,0.56075,-0.200624480843544,0.7183579206466675,0.029669467359781265,0.86,0.804054738880386,0.8031119361711395,0.62
9,0.2143,0.98125,0.9692630499191479,0.2593620005921328,0.9897912343242263,0.49418749999999995,0.5484374999999999,-0.14662636816501617,0.601938784122467,0.06555867195129395,0.91,0.861491791526179,0.831266376501928,0.63
10,0.2381,0.97875,0.9661941460875292,0.2557187517731986,1.0005512713650517,0.5065,0.5725,-0.15163150429725647,0.676173746585846,0.075501449406147,0.89,0.838203784430501,0.7814978665243834,0.65
11,0.2619,0.98375,0.9723723038855308,0.2843481269321433,1.059739169692968,0.5029375,0.6033125,-0.13679957389831543,0.7575355172157288,0.08942822366952896,0.955,0.9162973119241478,0.861023917896154,0.6875
12,0.2857,0.985,0.9739447388684488,0.2942183176062683,1.0765277491717578,0.49156249999999996,0.5763125,-0.09502162039279938,0.8592057824134827,0.09024494886398315,0.955,0.9162973119241478,0.8493331292871964,0.705
13,0.3095,0.98125,0.9692630499191479,0.3005381072379285,1.1340382084276768,0.501375,0.5719375,-0.06117066740989685,0.9623588919639587,0.09943529963493347,0.96,0.9227080317739853,0.9291903050805821,0.7625
