layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.5,0.5,0.42865843090683253,nan,0.5
1,0.0238,0.9925,0.983747593946152,0.44922221941803153,1.9613873587609763,0.5048750000000001,0.663375,-0.427256315946579,1.288228988647461,0.00941375270485878,0.995,0.99,0.995,0.9724581015427949,2.269024616421608,0.8175
2,0.0476,0.98375,0.9723723038855308,0.518487884165562,2.038171315151704,0.4901249999999999,0.6995625000000001,-0.44286277890205383,1.5582690238952637,0.030069749802350998,0.985,0.9825,0.995,0.9724581015427949,2.1793773186974734,0.83
3,0.0714,0.955,0.9382426293994028,0.5665746698291926,1.8015142942603586,0.5015,0.7105625,-0.5399284958839417,1.7003027200698853,0.03357464820146561,0.955,0.955,0.965,0.9292190016490227,1.7410607343874085,0.835
4,0.0952,0.97875,0.9661941460875292,0.5862352226912815,1.8556083336955376,0.491625,0.679875,-0.319744735956192,1.8833646774291992,0.04432142898440361,0.9825,0.975,0.99,0.9643453316027606,1.816515898146953,0.845
5,0.119,0.93125,0.9114495640574025,0.5367346438944612,1.721457355152136,0.49799999999999994,0.6935,-0.46911531686782837,1.7599643468856812,0.06932319700717926,0.935,0.9275,0.995,0.9724581015427949,1.899128981639606,0.825
6,0.1429,0.92125,0.9003665926315476,0.5136539698993391,1.695871717859271,0.5101875,0.65525,-0.6242381930351257,1.6698074340820312,0.06089109927415848,0.93,0.9125,0.99,0.9643453316027606,1.8713831776328078,0.8175
7,0.1667,0.9475,0.9296947433000233,0.5059868796709212,1.8044365853142843,0.49087500000000006,0.645125,-0.5198988914489746,1.68709397315979,0.07673900574445724,0.9525,0.9425,0.995,0.9724581015427949,2.10869246856573,0.845
8,0.1905,0.955,0.9382426293994028,0.509447910029574,1.794215654805472,0.5022500000000001,0.6580625,-0.5052667260169983,1.663995623588562,0.06583008915185928,0.965,0.945,0.99,0.9643453316027606,2.115043572276573,0.8225
9,0.2143,1.0,0.9953995154792554,0.5508069130958051,2.3939385192372398,0.49450000000000005,0.699,0.07148467004299164,1.7312449216842651,0.1307276040315628,1.0,1.0,0.995,0.9724581015427949,2.2691222870843566,0.875
10,0.2381,1.0,0.9953995154792554,0.5527009770432648,2.4610973716314315,0.5008125,0.6968124999999998,0.18540595471858978,1.6850333213806152,0.1650334745645523,1.0,1.0,0.995,0.9724581015427949,2.0423919358369167,0.895
11,0.2619,1.0,0.9953995154792554,0.5296388839132204,2.4928833854301438,0.5020624999999999,0.6861249999999999,0.23398084938526154,1.7110337018966675,0.15962083637714386,1.0,1.0,0.995,0.9724581015427949,2.1108053551370323,0.92
12,0.2857,1.0,0.9953995154792554,0.5604490866902989,2.6626536524493214,0.4925,0.6509375,0.23668964207172394,1.7679470777511597,0.17801566421985626,1.0,1.0,1.0,0.9817246596448641,2.1980355139513117,0.93
13,0.3095,1.0,0.9953995154792554,0.540308637540909,2.6949750631703306,0.49437499999999995,0.7003125000000001,0.2346416562795639,1.7681820392608643,0.1693599373102188,1.0,1.0,1.0,0.9817246596448641,2.223232931884663,0.9325
14,0.3333,1.0,0.9953995154792554,0.5155275336256788,2.781543796233553,0.49156249999999996,0.6640625000000001,0.262466698884964,1.7081586122512817,0.15917381644248962,1.0,1.0,1.0,0.9817246596448641,2.2966117726757465,0.9425
15,0.3571,1.0,0.9953995154792554,0.49006856507581065,2.829687528064066,0.5021875,0.702875,0.2433130145072937,1.6617017984390259,0.1552075296640396,1.0,1.0,1.0,0.9817246596448641,2.5412197987081853,0.9425
16,0.381,1.0,0.9953995154792554,0.4740124208354431,2.8165594799632134,0.50575,0.6770624999999999,0.2026812732219696,1.6009656190872192,0.15422764420509338,1.0,1.0,1.0,0.9817246596448641,2.3972156635462607,0.9025
17,0.4048,1.0,0.9953995154792554,0.4546728946516155,2.8271608283044554,0.5075624999999999,0.6503124999999998,0.25256913900375366,1.6211389303207397,0.15159739553928375,1.0,1.0,1.0,0.9817246596448641,2.587762675628434,0.9025
18,0.4286,1.0,0.9953995154792554,0.46427178550781334,2.7091917240197962,0.5093125,0.6500625,0.1085105910897255,1.6589325666427612,0.14630980789661407,1.0,1.0,1.0,0.9817246596448641,2.617993134215819,0.9475
19,0.4524,1.0,0.9953995154792554,0.4530332217968473,2.368775871966801,0.499125,0.6765,0.09284981340169907,1.5428087711334229,0.16450829803943634,1.0,1.0,1.0,0.9817246596448641,2.3859184111521277,0.93
20,0.4762,1.0,0.9953995154792554,0.44892174979309707,2.1877224402816067,0.506375,0.679,0.13850507140159607,1.4611244201660156,0.16323678195476532,1.0,1.0,1.0,0.9817246596448641,2.1803231694775644,0.8975
21,0.5,1.0,0.9953995154792554,0.44393971643998226,2.0854126620657145,0.4925625000000001,0.644875,0.07175812870264053,1.4350770711898804,0.16760170459747314,1.0,1.0,1.0,0.9817246596448641,2.1239293081893464,0.88
22,0.5238,1.0,0.9953995154792554,0.46534986197275424,2.1230448204921126,0.504875,0.674625,0.08012327551841736,1.461395025253296,0.1848348081111908,1.0,1.0,1.0,0.9817246596448641,2.1275195541586562,0.8575
23,0.5476,0.9975,0.990998581994929,0.47360514226429273,1.971809064991481,0.4998750000000001,0.6589375,-0.17972564697265625,1.35690438747406,0.19861765205860138,1.0,0.995,0.995,0.9724581015427949,1.933227524180233,0.815
24,0.5714,0.9975,0.990998581994929,0.47238527558876003,1.924346560587139,0.5029375,0.669875,-0.3089340329170227,1.3395590782165527,0.19549091160297394,1.0,0.995,0.995,0.9724581015427949,1.8923675318450615,0.8175
25,0.5952,0.9975,0.990998581994929,0.4690420419746835,1.7631376132371501,0.5142500000000001,0.6596875,-0.3425110876560211,1.2475075721740723,0.20093774795532227,1.0,0.995,1.0,0.9817246596448641,1.7659240059811814,0.805
26,0.619,0.99625,0.9890803491202564,0.46126224703430824,1.7078662786429857,0.4956875000000001,0.6656875,-0.36299118399620056,1.2400342226028442,0.21401867270469666,0.9975,0.995,0.995,0.9724581015427949,1.7326321178452848,0.805
27,0.6429,0.99625,0.9890803491202564,0.4596191118020003,1.721065220398137,0.4974374999999999,0.6432499999999999,-0.3148677945137024,1.2344244718551636,0.241073340177536,0.9975,0.995,0.995,0.9724581015427949,1.724359523753806,0.7875
28,0.6667,0.995,0.9872478806115466,0.46551188438727414,1.6606181976188685,0.499375,0.6615,-0.39558589458465576,1.1901284456253052,0.23633944988250732,0.9975,0.9925,1.0,0.9817246596448641,1.679250936538492,0.7825
29,0.6905,0.995,0.9872478806115466,0.46940402316604635,1.6476458958164906,0.502375,0.7151875000000001,-0.44333627820014954,1.180741548538208,0.25616255402565,0.9975,0.9925,0.995,0.9724581015427949,1.6787901431637764,0.77
