layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.42865843090683253,nan,0.5
1,0.0238,0.94375,0.9254540130590501,0.44367352885955996,1.5801146303770248,0.49731250000000005,0.6911875,-1.3545663356781006,1.4602705240249634,0.013791750185191631,0.95,0.9099724622986498,1.623176203985985,0.8825
2,0.0476,0.985,0.9739447388684488,0.4890964486659938,2.2649872826795874,0.49012500000000003,0.6530625,-1.2652100324630737,1.6694599390029907,0.03701463341712952,0.98,0.9495863909101048,2.197704830746185,0.9175
3,0.0714,0.98125,0.9692630499191479,0.5080434542083014,2.176404003458423,0.508,0.6244374999999999,-1.1972721815109253,1.6055089235305786,0.03553424030542374,0.98,0.9495863909101048,2.1508002308376284,0.9125
4,0.0952,0.98375,0.9723723038855308,0.5051910865676349,2.287488420788572,0.49406249999999996,0.694375,-1.024799108505249,1.629075288772583,0.042379945516586304,0.98,0.9495863909101048,2.2240600055368964,0.9325
5,0.119,0.9925,0.983747593946152,0.5401256790626884,2.4617314740905356,0.503125,0.7158125,-0.5612334609031677,1.6834697723388672,0.0717640370130539,0.985,0.9567917180822874,2.4721251885334006,0.935
6,0.1429,0.98875,0.97875182327426,0.5542954908179848,2.3769498802104305,0.5025625,0.6453749999999999,-0.47306185960769653,1.6529465913772583,0.07258676737546921,0.985,0.9567917180822874,2.419681436948243,0.935
7,0.1667,0.99125,0.9820552005928282,0.5432405802437708,2.4246554028225646,0.4992500000000001,0.6655,-0.3695007860660553,1.6955077648162842,0.08647318929433823,0.985,0.9567917180822874,2.4981240082515455,0.9375
8,0.1905,0.99125,0.9820552005928282,0.5382130603771627,2.3989263118704787,0.5041249999999999,0.6906874999999999,-0.4375365972518921,1.6847234964370728,0.07093580067157745,0.985,0.9567917180822874,2.467772985199802,0.9325
9,0.2143,0.99125,0.9820552005928282,0.5138506474629678,2.749789771259145,0.49824999999999997,0.7175000000000001,-0.22552905976772308,1.8016754388809204,0.09564440697431564,0.995,0.9724581015427949,2.7678626359066234,0.96
10,0.2381,0.99375,0.9854752894041039,0.5685095097897193,2.7578566180313695,0.4988125,0.6864374999999999,-0.35940155386924744,1.8080167770385742,0.09978212416172028,0.995,0.9724581015427949,2.7812177759054277,0.955
11,0.2619,0.99625,0.9890803491202564,0.5898252293638861,2.955727254119711,0.49881249999999994,0.7181874999999999,-0.2288731187582016,1.8405839204788208,0.1185237318277359,0.995,0.9724581015427949,2.9476173236510173,0.9575
12,0.2857,0.995,0.9872478806115466,0.5951901660358709,2.88497785019367,0.49937499999999996,0.6838750000000001,-0.2842595875263214,1.8314253091812134,0.10943663865327835,0.995,0.9724581015427949,2.8265361563556497,0.955
13,0.3095,0.9975,0.990998581994929,0.5953772473612851,3.050109914339502,0.4969999999999999,0.672375,-0.10826874524354935,1.8619368076324463,0.12309311330318451,1.0,0.9817246596448641,3.009958883995195,0.97
14,0.3333,0.99875,0.9930553128676283,0.6042550134711625,3.088632708204065,0.4888749999999999,0.7254375000000001,-0.09906058758497238,1.8704156875610352,0.11939217895269394,1.0,0.9817246596448641,3.085186260895006,0.9675
15,0.3571,0.9975,0.990998581994929,0.5914055522919648,3.133868911140402,0.5076875000000001,0.714125,-0.15825973451137543,1.847935438156128,0.1188330352306366,1.0,0.9817246596448641,3.219116556468824,0.975
16,0.381,1.0,0.9953995154792554,0.5853929384720832,3.165180954105495,0.50675,0.7341874999999999,0.019924936816096306,1.8502095937728882,0.1283971518278122,1.0,0.9817246596448641,3.2864789469803934,0.975
17,0.4048,0.9975,0.990998581994929,0.5792429581603595,3.1373958794384644,0.508625,0.6928749999999999,-0.07920581102371216,1.8469420671463013,0.1340443640947342,1.0,0.9817246596448641,3.234034081772118,0.9725
18,0.4286,0.99875,0.9930553128676283,0.6158277837936698,3.3838889220421158,0.51075,0.721125,-0.0645478367805481,1.87259840965271,0.16069944202899933,1.0,0.9817246596448641,3.519492842746386,0.9725
19,0.4524,0.99875,0.9930553128676283,0.6400399566127711,3.392874581352873,0.48600000000000004,0.7051875,-0.0686691626906395,1.8734972476959229,0.18931777775287628,1.0,0.9817246596448641,3.5160455822385477,0.97
20,0.4762,0.9975,0.990998581994929,0.6688051384473872,3.304814530800844,0.5053124999999999,0.6955625000000001,-0.17766723036766052,1.8744994401931763,0.19217023253440857,1.0,0.9817246596448641,3.4599207990042453,0.97
21,0.5,0.9975,0.990998581994929,0.6696647673144029,3.3054502360042477,0.4859375,0.754375,-0.06820536404848099,1.882400393486023,0.20870913565158844,1.0,0.9817246596448641,3.4442323657496576,0.9675
22,0.5238,1.0,0.9953995154792554,0.6586714720923409,3.3942427699488094,0.49693750000000014,0.7561875,0.051513928920030594,1.889755368232727,0.22071844339370728,1.0,0.9817246596448641,3.5851527728931276,0.97
23,0.5476,1.0,0.9953995154792554,0.6581814625716267,3.477306515194406,0.4968749999999999,0.7100624999999998,0.0877419114112854,1.90605628490448,0.23836196959018707,1.0,0.9817246596448641,3.7086822828956545,0.9725
24,0.5714,1.0,0.9953995154792554,0.6114433505956054,3.454080587513872,0.502375,0.7372500000000002,0.07448899745941162,1.9053351879119873,0.2512668967247009,1.0,0.9817246596448641,3.7023807515215075,0.9775
25,0.5952,1.0,0.9953995154792554,0.5919129501617842,3.447762088901125,0.5035,0.7276250000000001,0.021001659333705902,1.9016804695129395,0.2745881974697113,1.0,0.9817246596448641,3.721447493513242,0.98
26,0.619,0.99875,0.9930553128676283,0.5786148589848988,3.455055039063986,0.48925,0.705125,-0.10400836914777756,1.9006037712097168,0.311515748500824,1.0,0.9817246596448641,3.682985526079592,0.9775
27,0.6429,1.0,0.9953995154792554,0.5452490168138893,3.57516352700297,0.500875,0.6923125,0.050367321819067,1.9169504642486572,0.35597988963127136,1.0,0.9817246596448641,3.8123055156729735,0.98
28,0.6667,1.0,0.9953995154792554,0.539966122960853,3.6164006779317592,0.5029375,0.6741249999999999,0.08765488117933273,1.9383339881896973,0.3558582067489624,1.0,0.9817246596448641,3.81252706342431,0.9775
29,0.6905,1.0,0.9953995154792554,0.5267636554906043,3.5158053294297766,0.49293750000000003,0.6442500000000001,0.026620615273714066,1.9340581893920898,0.385118693113327,1.0,0.9817246596448641,3.6907893389349793,0.9775
30,0.7143,1.0,0.9953995154792554,0.5179553915398764,3.537771675351883,0.5064375,0.6728750000000001,0.033107660710811615,1.9283164739608765,0.38724493980407715,1.0,0.9817246596448641,3.7272575159987196,0.98
