layer,depth,cos_v2_v1,auroc_v2_on_v1,auroc_v1_on_v2,mean_paired_cos_v2,mean_paired_cos_v1,cos_v2_v1_audience
0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
1,0.0357,0.7140373355106354,1.0,1.0,0.5146848772964351,0.5900153479297107,0.5125725013756209
2,0.0714,0.746357436275253,1.0,1.0,0.5078009846748824,0.6379073196940804,0.48859976639660607
3,0.1071,0.7319770276332827,1.0,1.0,0.5230371994069148,0.6608706956059855,0.4133630085512286
4,0.1429,0.7724515619730158,1.0,1.0,0.5686204312011331,0.6863979323959051,0.4548094566522744
5,0.1786,0.7556397722231272,1.0,1.0,0.5975871946568969,0.7113282109043579,0.4114303510188089
6,0.2143,0.7022191530536579,1.0,1.0,0.5779742677539954,0.6809183931421069,0.33338061229938243
7,0.25,0.7267754700389099,1.0,1.0,0.5926468950949996,0.6998496725181644,0.37741898429772325
8,0.2857,0.7155010109453056,1.0,1.0,0.5996537217935426,0.6911467606338578,0.34472888728276624
9,0.3214,0.7447803770198278,1.0,1.0,0.6427004130275035,0.7065320447392707,0.35063316642071013
10,0.3571,0.7240268701242387,1.0,1.0,0.6484353193115341,0.6890292159235782,0.41789475461478626
11,0.3929,0.7309285137065354,1.0,1.0,0.6659268655910766,0.7046691439661723,0.4190578607876623
12,0.4286,0.7207438842027198,1.0,1.0,0.663896326305837,0.6996421555106228,0.4280415817520253
13,0.4643,0.7197057255233916,1.0,1.0,0.6718338029520459,0.7051782488506505,0.45377242947737506
14,0.5,0.812486698147475,1.0,1.0,0.7464698042957079,0.7530362676923407,0.53631146946171
15,0.5357,0.816221864255736,1.0,1.0,0.7753887465665562,0.7580514475979172,0.5586321447911742
16,0.5714,0.8313288415270303,1.0,1.0,0.7763984745913655,0.7669684799483918,0.5728130294312492
17,0.6071,0.8095115971497749,1.0,1.0,0.7717629203064882,0.751411380284553,0.5475639806927707
18,0.6429,0.8099962811074265,1.0,1.0,0.7692191033226321,0.7482120196340027,0.5594076510167532
19,0.6786,0.7591570675657799,1.0,1.0,0.7305682380600532,0.7173879131797994,0.45345761081308456
20,0.7143,0.753860537902207,1.0,1.0,0.7338401050150378,0.6990373372264196,0.416729798402346
21,0.75,0.7432635832822347,1.0,1.0,0.7235224637683274,0.6711131342580617,0.40411123200619276
22,0.7857,0.7220380032519549,1.0,1.0,0.7033506792900304,0.6498130649318489,0.3630445162594002
23,0.8214,0.7201757978062413,1.0,1.0,0.6816954089243784,0.6310115358328088,0.38167751045705484
24,0.8571,0.7138762897581767,1.0,1.0,0.6719068582894764,0.6134807239007553,0.3515002393769763
25,0.8929,0.7150238721038558,1.0,1.0,0.6592358736358623,0.6054871408323088,0.3585553871137324
26,0.9286,0.6903334960667011,1.0,1.0,0.6455023786950054,0.5941434343033501,0.3372563091432139
27,0.9643,0.6772244670934277,1.0,1.0,0.6274311290182821,0.5754117532226335,0.3086231033501584
28,1.0,0.7188864844873336,1.0,1.0,0.6635512849084471,0.629184256156093,0.4069914913291204
