layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr,resid_len_auroc,len_frac
0,0.0,0.5,0.35527299712990723,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.26586134727739674,nan,0.5,0.5,0.0
1,0.0357,0.84,0.7088736934048885,0.2228682320273862,0.9222552925071051,0.49000000000000005,0.623,-0.7595129609107971,0.532776951789856,0.02208881452679634,0.8,0.5191088661931471,0.5010666528297143,0.6333333333333333,1.0,0.24345737532564116
2,0.0714,0.86,0.732603997502991,0.24382185434152162,0.8754610330854857,0.48200000000000004,0.585,-1.178758978843689,0.6072671413421631,0.025790462270379066,0.7333333333333333,0.44899675896302893,0.6694931849108273,0.7333333333333333,1.0,0.3512728115774614
3,0.1071,0.88,0.7568986832944371,0.24342116263318103,0.9235787210161225,0.505,0.579,-0.7368072867393494,0.6357186436653137,0.027981486171483994,0.8,0.5191088661931471,1.046418534521302,0.8,1.0,0.2747949478570108
4,0.1429,0.88,0.7568986832944371,0.2487265069253249,1.0073283668536899,0.488,0.5860000000000001,-1.0970510244369507,0.8172025680541992,0.034593820571899414,0.8,0.5191088661931471,0.8899544444089789,0.7666666666666667,1.0,0.3419316831827431
5,0.1786,0.92,0.8076572164040368,0.27997426937049646,1.2159824296395934,0.5210000000000001,0.5820000000000001,-0.8869913220405579,0.9329519867897034,0.049128416925668716,0.8,0.5191088661931471,0.8864779725805757,0.7333333333333333,1.0,0.28583338527235536
6,0.2143,0.88,0.7568986832944371,0.27549540979081305,1.0194253715721648,0.528,0.576,-1.1567285060882568,0.8306273818016052,0.04808884859085083,0.8,0.5191088661931471,0.8108269776503466,0.7333333333333333,1.0,0.3328410866334093
7,0.25,0.88,0.7568986832944371,0.28815327415176073,1.0520225048902188,0.51,0.5980000000000001,-1.492417812347412,0.9514420032501221,0.050763458013534546,0.8,0.5191088661931471,0.66214095529889,0.8,1.0,0.34559611367702836
8,0.2857,0.9,0.7818646335657975,0.31056732253686903,1.246108120591757,0.5320000000000001,0.643,-0.9766348600387573,1.0711722373962402,0.0604415163397789,0.8,0.5191088661931471,0.8970993151278819,0.8,1.0,0.3448833850611441
9,0.3214,0.92,0.8076572164040368,0.33912415750833924,1.4349244435757735,0.4980000000000001,0.6220000000000001,-0.5507363080978394,1.0940274000167847,0.08268454670906067,0.8666666666666667,0.5953973033966278,0.9432387726635145,0.7666666666666667,1.0,0.35196701840178285
10,0.3571,0.92,0.8076572164040368,0.3419501521888149,1.4269793689588846,0.492,0.6210000000000001,-0.6018505692481995,1.1455347537994385,0.07513859868049622,0.8,0.5191088661931471,0.8844054908897041,0.6666666666666666,1.0,0.3432878657520667
11,0.3929,0.9,0.7818646335657975,0.33609001086529505,1.4244534873388797,0.4950000000000001,0.608,-0.6367650032043457,1.1296695470809937,0.07508073002099991,0.8,0.5191088661931471,0.9117436475721521,0.6666666666666666,1.0,0.3406607431057346
12,0.4286,0.92,0.8076572164040368,0.34598954768460594,1.4874827934640358,0.515,0.6060000000000001,-0.571248471736908,1.181394338607788,0.07699935883283615,0.8666666666666667,0.5953973033966278,1.072427891942891,0.7333333333333333,1.0,0.3108227197304084
13,0.4643,0.98,0.8935304542884996,0.38246345754264416,1.7821034707751748,0.48,0.6519999999999999,-0.07845215499401093,1.3461357355117798,0.0832846462726593,0.8666666666666667,0.5953973033966278,1.280013638489567,0.7666666666666667,1.0,0.3237113779710237
14,0.5,1.0,0.9288782635358022,0.5028329703039044,1.988101171180876,0.492,0.7060000000000001,0.19631662964820862,1.3264514207839966,0.12351522594690323,0.9333333333333333,0.6805154334216965,1.432306534962039,0.7666666666666667,1.0,0.1509600062490249
15,0.5357,1.0,0.9288782635358022,0.5613473179617808,2.000017056644774,0.473,0.741,0.1293645054101944,1.380659818649292,0.16995522379875183,0.9333333333333333,0.6805154334216965,1.4185240434926747,0.7666666666666667,1.0,0.12632573768579256
16,0.5714,1.0,0.9288782635358022,0.5981548635065539,2.0153683247363574,0.51,0.733,0.17193163931369781,1.5249232053756714,0.20246554911136627,1.0,0.7819806390894661,1.4927197998517405,0.7666666666666667,1.0,0.14286692986424682
17,0.6071,1.0,0.9288782635358022,0.6001246690281168,2.1671845780240115,0.505,0.708,0.1421540230512619,1.6668453216552734,0.22152400016784668,1.0,0.7819806390894661,1.5028761465912563,0.7666666666666667,1.0,0.11056294294231482
18,0.6429,1.0,0.9288782635358022,0.6295619019907002,2.2299816444400413,0.4960000000000001,0.7550000000000001,0.1299247145652771,1.7140129804611206,0.2511278986930847,1.0,0.7819806390894661,1.7049636953136047,0.8,0.7777777777777778,0.07501450924504602
19,0.6786,1.0,0.9288782635358022,0.6783330277813213,2.480141738061158,0.48200000000000004,0.7260000000000001,0.2919464111328125,1.7395957708358765,0.3194141387939453,1.0,0.7819806390894661,2.615460643868657,0.9333333333333333,0.6666666666666666,0.03839151652417044
20,0.7143,1.0,0.9288782635358022,0.6878620906187203,2.5895442368935986,0.4789999999999999,0.7759999999999999,0.29438871145248413,1.7393264770507812,0.3951362371444702,1.0,0.7819806390894661,2.5129742515555638,0.9,0.6666666666666666,0.03627483772575842
21,0.75,1.0,0.9288782635358022,0.7084765508797577,2.6583491322214106,0.549,0.808,0.32885462045669556,1.7555739879608154,0.4668827950954437,1.0,0.7819806390894661,2.6521639190618815,0.8666666666666667,0.6666666666666666,0.01539567146307268
22,0.7857,1.0,0.9288782635358022,0.6910294827069068,2.699235918858144,0.5429999999999999,0.763,0.2704693078994751,1.7929463386535645,0.48564252257347107,1.0,0.7819806390894661,2.470489580997883,0.8333333333333334,0.5555555555555556,0.027498962682580848
23,0.8214,1.0,0.9288782635358022,0.6730638422980246,2.7432562824054845,0.49700000000000005,0.734,0.29087746143341064,1.829146385192871,0.4856600761413574,1.0,0.7819806390894661,2.427365678604469,0.8333333333333334,0.4444444444444444,0.031554971693885873
24,0.8571,1.0,0.9288782635358022,0.6801026965755728,2.741114019478777,0.442,0.788,0.18266284465789795,1.8136881589889526,0.5105466842651367,1.0,0.7819806390894661,2.3170103425420527,0.8333333333333334,0.4444444444444444,0.03513768113147324
25,0.8929,1.0,0.9288782635358022,0.6612450339921928,2.674207368616431,0.45600000000000007,0.8030000000000002,0.11150432378053665,1.7921037673950195,0.48696354031562805,1.0,0.7819806390894661,2.2233420716342365,0.8333333333333334,0.3333333333333333,0.034746266011190255
26,0.9286,1.0,0.9288782635358022,0.6580623198822291,2.6917801732135547,0.512,0.7739999999999999,0.07913430035114288,1.7806305885314941,0.47579026222229004,1.0,0.7819806390894661,2.177511965528238,0.8333333333333334,0.4444444444444444,0.03861763643054976
27,0.9643,1.0,0.9288782635358022,0.631409856814658,2.716951516003995,0.519,0.6799999999999999,0.11214806884527206,1.8014699220657349,0.4300153851509094,1.0,0.7819806390894661,2.177566139247817,0.8333333333333334,0.1111111111111111,0.06879383170351293
28,1.0,1.0,0.9288782635358022,0.612366482078998,2.6917965303090363,0.461,0.76,0.14600242674350739,1.76767897605896,0.4367178976535797,1.0,0.7819806390894661,2.217764681324634,0.8333333333333334,0.4444444444444444,0.10492824010368684
