layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr,resid_len_auroc,len_frac
0,0.0,0.5,0.2571306264064067,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.13699566226516657,nan,0.5,0.5,0.0
1,0.0357,1.0,0.8389023847809203,0.898209061244482,11.793935102620887,0.507142857142857,0.8666666666666666,1.6285078525543213,1.9610127210617065,0.11962179839611053,1.0,0.6637328831200571,12.003540999031046,1.0,1.0,1.0
2,0.0714,1.0,0.8389023847809203,0.9101858095287911,10.077749560753169,0.5333333333333332,0.8785714285714287,1.5903161764144897,1.9096885919570923,0.1403994858264923,1.0,0.6637328831200571,13.468596079903536,1.0,1.0,1.0000000000000007
3,0.1071,1.0,0.8389023847809203,0.8535148515312289,13.267373741836465,0.5071428571428571,0.8309523809523809,1.7140530347824097,1.8874521255493164,0.14238925278186798,1.0,0.6637328831200571,21.522416010690144,1.0,1.0,1.0000000000000004
4,0.1429,1.0,0.8389023847809203,0.8527347030409993,11.842654993007127,0.480952380952381,0.8428571428571429,1.6762155294418335,1.9321759939193726,0.17656190693378448,1.0,0.6637328831200571,13.533369331723337,1.0,1.0,1.0000000000000002
5,0.1786,1.0,0.8389023847809203,0.8249960817845773,20.25687811327496,0.5261904761904762,0.8071428571428572,1.805556297302246,1.963417887687683,0.20405401289463043,1.0,0.6637328831200571,21.937880564096744,1.0,1.0,1.0000000000000009
6,0.2143,1.0,0.8389023847809203,0.8454189231812228,7.638985528875529,0.5261904761904761,0.8261904761904761,1.241424322128296,1.7061001062393188,0.23320704698562622,1.0,0.6637328831200571,7.723861629397355,0.8888888888888888,1.0,1.0000000000000007
7,0.25,1.0,0.8389023847809203,0.8406261255166703,11.03350799643305,0.5452380952380953,0.8261904761904763,1.497414231300354,1.7202106714248657,0.2485877275466919,1.0,0.6637328831200571,10.19906947001095,1.0,1.0,1.0000000000000004
8,0.2857,1.0,0.8389023847809203,0.8226623903637412,9.481309695817174,0.5119047619047619,0.8309523809523809,1.5568617582321167,1.8086501359939575,0.2467191070318222,1.0,0.6637328831200571,8.784872118225923,1.0,1.0,1.0000000000000007
9,0.3214,1.0,0.8389023847809203,0.8093697303546986,6.454115871676222,0.488095238095238,0.8404761904761905,1.3861669301986694,1.807945966720581,0.2758358120918274,1.0,0.6637328831200571,6.492808305664388,1.0,1.0,1.0000000000000007
10,0.3571,1.0,0.8389023847809203,0.7965537615988149,5.0481742633262,0.47619047619047616,0.8261904761904763,1.3186393976211548,1.9284725189208984,0.24046944081783295,1.0,0.6637328831200571,5.907213732217133,1.0,1.0,1.0000000000000004
11,0.3929,1.0,0.8389023847809203,0.7905978592158753,4.312099813480273,0.5,0.780952380952381,1.2182694673538208,1.8826768398284912,0.2339136302471161,1.0,0.6637328831200571,4.945943427455647,1.0,1.0,1.0000000000000004
12,0.4286,1.0,0.8389023847809203,0.7853725856075948,4.0949670119775226,0.48571428571428565,0.8261904761904761,1.1623461246490479,1.9129053354263306,0.2261061668395996,1.0,0.6637328831200571,4.9254558107056425,1.0,1.0,1.0000000000000002
13,0.4643,1.0,0.8389023847809203,0.7953017151108086,4.840167483893078,0.47380952380952374,0.7476190476190475,1.2976280450820923,1.9778003692626953,0.23479343950748444,1.0,0.6637328831200571,6.023482386372063,1.0,1.0,1.0000000000000007
14,0.5,1.0,0.8389023847809203,0.7692566053064234,4.269846786013223,0.5738095238095238,0.8761904761904761,1.190073013305664,1.9009984731674194,0.21050886809825897,1.0,0.6637328831200571,5.4218475441221345,1.0,1.0,1.0000000000000002
15,0.5357,1.0,0.8389023847809203,0.7541950537520258,4.553694941464889,0.4785714285714285,0.7571428571428571,1.230556845664978,1.8854682445526123,0.20035415887832642,1.0,0.6637328831200571,5.571312413237375,1.0,1.0,1.0000000000000004
16,0.5714,1.0,0.8389023847809203,0.7453118910828989,5.8181852291300125,0.5309523809523808,0.8261904761904763,1.3713939189910889,1.8369537591934204,0.19910317659378052,1.0,0.6637328831200571,7.82958848443399,1.0,1.0,1.0000000000000004
17,0.6071,1.0,0.8389023847809203,0.7383915873229088,7.2147788025795805,0.5380952380952381,0.7761904761904761,1.5229135751724243,1.8440144062042236,0.19935907423496246,1.0,0.6637328831200571,10.461612403959041,1.0,1.0,1.0000000000000004
18,0.6429,1.0,0.8389023847809203,0.7212288590943269,7.814720113040889,0.5285714285714286,0.7619047619047621,1.557666301727295,1.8660423755645752,0.18655100464820862,1.0,0.6637328831200571,11.758623963888281,1.0,1.0,1.0000000000000007
19,0.6786,1.0,0.8389023847809203,0.6837581640622806,9.879591537501717,0.4833333333333334,0.7833333333333333,1.4503517150878906,1.929307460784912,0.17889449000358582,1.0,0.6637328831200571,9.791840411120459,1.0,1.0,1.0000000000000004
20,0.7143,1.0,0.8389023847809203,0.6555104714162742,5.850169047276899,0.49285714285714277,0.7547619047619047,1.1038949489593506,1.76085364818573,0.19688285887241364,1.0,0.6637328831200571,5.772549536106694,1.0,1.0,1.0000000000000002
21,0.75,1.0,0.8389023847809203,0.6341153995696394,3.8736951151295753,0.4666666666666667,0.7547619047619049,0.9315562844276428,1.6984633207321167,0.2110680490732193,1.0,0.6637328831200571,3.951638413545106,0.9444444444444444,1.0,1.0000000000000004
22,0.7857,1.0,0.8389023847809203,0.6023198772559285,3.3556661885597845,0.5261904761904761,0.6166666666666666,0.8420469164848328,1.7040786743164062,0.2090529054403305,1.0,0.6637328831200571,3.103388455431169,0.9444444444444444,1.0,1.0000000000000009
23,0.8214,1.0,0.8389023847809203,0.5779628548114971,2.8020929049448577,0.47380952380952374,0.7119047619047618,0.6824215650558472,1.6672416925430298,0.21480074524879456,1.0,0.6637328831200571,2.5296977674261893,0.8333333333333334,1.0,1.0000000000000004
24,0.8571,1.0,0.8389023847809203,0.5498650888791381,2.5202524846420076,0.4833333333333334,0.6952380952380952,0.5368711352348328,1.632659912109375,0.2068139910697937,1.0,0.6637328831200571,2.2963902010665,0.8333333333333334,1.0,1.0000000000000004
25,0.8929,1.0,0.8389023847809203,0.5383852640702107,2.42341994963192,0.5047619047619046,0.6309523809523809,0.5057626366615295,1.5647438764572144,0.19053062796592712,1.0,0.6637328831200571,2.2381220023314325,0.8333333333333334,1.0,1.0000000000000007
26,0.9286,1.0,0.8389023847809203,0.5372286645828779,2.2364326123008422,0.49523809523809526,0.6714285714285714,0.42376798391342163,1.4689726829528809,0.18190552294254303,1.0,0.6637328831200571,2.117513545490065,0.8333333333333334,1.0,1.0000000000000004
27,0.9643,1.0,0.8389023847809203,0.546855305925172,2.1419571606418812,0.5119047619047618,0.7095238095238096,0.4059937596321106,1.2984645366668701,0.18194980919361115,1.0,0.6637328831200571,2.136061321515443,0.7777777777777778,1.0,1.0000000000000004
28,1.0,1.0,0.8389023847809203,0.5265103059278141,1.9064273907702753,0.4976190476190475,0.6785714285714285,0.327401727437973,1.5905036926269531,0.18082478642463684,1.0,0.6637328831200571,1.7119372954224743,0.8333333333333334,1.0,1.0000000000000007
