layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr,resid_len_auroc,len_frac
0,0.0,0.5,0.35527299712990723,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.5,0.5,0.26586134727739674,nan,0.5,0.5,0.0
1,0.0357,1.0,0.9288782635358022,0.6585566789674152,3.937571931681035,0.5359999999999999,0.7430000000000001,0.7304572463035583,1.8843276500701904,0.051910556852817535,1.0,1.0,1.0,0.7819806390894661,7.3929672274985565,1.0,0.8888888888888888,0.029951661271747303
2,0.0714,1.0,0.9288782635358022,0.6313912875131553,3.4620715310317314,0.48000000000000015,0.752,0.47586408257484436,1.7688703536987305,0.046478841453790665,1.0,1.0,1.0,0.7819806390894661,9.495295503307336,1.0,1.0,0.1527714565931618
3,0.1071,1.0,0.9288782635358022,0.6482682955841998,3.891869050659094,0.527,0.7050000000000001,0.412553608417511,1.827304482460022,0.05612259358167648,1.0,1.0,1.0,0.7819806390894661,10.683137665094424,1.0,1.0,0.12962174642953977
4,0.1429,1.0,0.9288782635358022,0.6573718626132732,3.682230252171147,0.5280000000000001,0.8010000000000002,0.388645201921463,1.8606308698654175,0.06921590864658356,1.0,1.0,1.0,0.7819806390894661,10.863723894040888,1.0,1.0,0.1562336967273634
5,0.1786,1.0,0.9288782635358022,0.6624784067232758,4.5471909469644025,0.5570000000000002,0.7630000000000001,1.122591257095337,1.8290823698043823,0.08994872868061066,1.0,1.0,1.0,0.7819806390894661,4.279914764246305,0.9666666666666667,1.0,0.2230339446812254
6,0.2143,1.0,0.9288782635358022,0.7267466987770703,3.7749898439273113,0.536,0.7569999999999999,0.8968536257743835,1.788724422454834,0.11289011687040329,1.0,1.0,1.0,0.7819806390894661,3.795696081244962,0.9666666666666667,1.0,0.240122756625052
7,0.25,1.0,0.9288782635358022,0.749061666724754,4.22771355445104,0.487,0.73,0.8583082556724548,1.868941307067871,0.1321711540222168,1.0,1.0,1.0,0.7819806390894661,3.903748798307743,0.9666666666666667,1.0,0.2018195027815648
8,0.2857,1.0,0.9288782635358022,0.7213571291234119,4.710088231261048,0.5290000000000001,0.776,0.8665640950202942,1.842958688735962,0.13349035382270813,1.0,1.0,1.0,0.7819806390894661,4.625013374295487,0.9666666666666667,1.0,0.17329579495440886
9,0.3214,1.0,0.9288782635358022,0.7160444189361944,4.031622522625136,0.5200000000000001,0.6990000000000001,0.8922547698020935,1.9413634538650513,0.1656137853860855,1.0,1.0,1.0,0.7819806390894661,3.3729813171305882,1.0,1.0,0.17826886768533856
10,0.3571,1.0,0.9288782635358022,0.7026763832329014,3.2829202883117365,0.488,0.7490000000000001,0.6515246033668518,1.8905508518218994,0.16386286914348602,1.0,1.0,1.0,0.7819806390894661,2.305441717090252,0.9333333333333333,1.0,0.29894035428422383
11,0.3929,1.0,0.9288782635358022,0.7033412788368726,3.2282603309389173,0.554,0.749,0.6098960041999817,1.8409537076950073,0.17159219086170197,1.0,1.0,1.0,0.7819806390894661,2.109721563668145,0.9333333333333333,1.0,0.22806171152919258
12,0.4286,1.0,0.9288782635358022,0.7072268387210197,3.058181677408434,0.5079999999999999,0.7999999999999999,0.5107961893081665,1.875936508178711,0.17626552283763885,1.0,1.0,1.0,0.7819806390894661,1.9736502158024372,0.9333333333333333,1.0,0.2216578576165984
13,0.4643,1.0,0.9288782635358022,0.6988827489338854,3.2274578793228628,0.46900000000000003,0.8,0.5992162227630615,1.865461826324463,0.17352062463760376,1.0,1.0,1.0,0.7819806390894661,2.1498569228248736,0.9333333333333333,1.0,0.23040951344005534
14,0.5,1.0,0.9288782635358022,0.6414610062168643,3.406416517614537,0.475,0.7180000000000001,0.8164523243904114,1.8112828731536865,0.15517376363277435,1.0,1.0,1.0,0.7819806390894661,2.377029830738602,0.9666666666666667,1.0,0.23620962081193125
15,0.5357,1.0,0.9288782635358022,0.6024150985653598,3.397021221756821,0.506,0.719,0.8531562089920044,1.7147271633148193,0.15750151872634888,1.0,1.0,1.0,0.7819806390894661,2.408688235689837,0.9666666666666667,1.0,0.2595407494615806
16,0.5714,1.0,0.9288782635358022,0.5960901086072071,3.1012374519917625,0.514,0.7859999999999999,0.705011248588562,1.6352758407592773,0.1666499674320221,1.0,1.0,1.0,0.7819806390894661,2.4140451333728494,0.9333333333333333,1.0,0.25171332037078914
17,0.6071,1.0,0.9288782635358022,0.569395266923203,2.942140351860772,0.461,0.705,0.7274473309516907,1.4961607456207275,0.1722436100244522,1.0,1.0,1.0,0.7819806390894661,2.423850304218853,0.8666666666666667,1.0,0.26144899524499043
18,0.6429,1.0,0.9288782635358022,0.5684795087210355,2.834335045675532,0.541,0.72,0.7029025554656982,1.462763786315918,0.17857638001441956,1.0,1.0,1.0,0.7819806390894661,2.5225286801363733,0.8666666666666667,1.0,0.28378394557744463
19,0.6786,1.0,0.9288782635358022,0.5364822865964637,2.6023920377677805,0.5089999999999999,0.7180000000000002,0.5704320669174194,1.3972715139389038,0.17204466462135315,1.0,1.0,1.0,0.7819806390894661,2.4054576190025205,0.9333333333333333,1.0,0.2816747134270767
20,0.7143,1.0,0.9288782635358022,0.5267589726562686,2.1514429102294823,0.477,0.73,0.39163467288017273,1.3344120979309082,0.20805160701274872,1.0,1.0,1.0,0.7819806390894661,2.2087233387726317,0.8666666666666667,1.0,0.2637785572106308
21,0.75,1.0,0.9288782635358022,0.5161520700651225,2.1133148927531544,0.5029999999999999,0.638,0.47293075919151306,1.4020357131958008,0.21809370815753937,1.0,1.0,1.0,0.7819806390894661,2.101096713096917,0.8666666666666667,1.0,0.24393140936364416
22,0.7857,1.0,0.9288782635358022,0.5003788628374964,1.942785530660842,0.562,0.667,0.42685753107070923,1.2872620820999146,0.22839245200157166,1.0,1.0,1.0,0.7819806390894661,2.0030110734216247,0.8666666666666667,1.0,0.2517735008664542
23,0.8214,1.0,0.9288782635358022,0.48532346448995417,1.7809102309223033,0.5010000000000001,0.6719999999999999,0.3746572732925415,1.304614782333374,0.24586555361747742,1.0,1.0,1.0,0.7819806390894661,1.7993643348154789,0.9,1.0,0.23573976288111226
24,0.8571,1.0,0.9288782635358022,0.47610497123624634,1.792256494035275,0.485,0.656,0.45291101932525635,1.3172730207443237,0.2481316328048706,1.0,1.0,1.0,0.7819806390894661,1.7456963535598293,0.8333333333333334,0.7777777777777778,0.22127712943538683
25,0.8929,1.0,0.9288782635358022,0.46037325199560913,1.6816003994122923,0.484,0.6599999999999999,0.3686220049858093,1.3052388429641724,0.2384379357099533,1.0,1.0,1.0,0.7819806390894661,1.6446991336078491,0.8666666666666667,0.7777777777777778,0.19977877864277507
26,0.9286,1.0,0.9288782635358022,0.4533754632362718,1.6530527729105378,0.499,0.6699999999999999,0.3403327763080597,1.3257325887680054,0.23164615035057068,1.0,1.0,1.0,0.7819806390894661,1.6072774655008633,0.8666666666666667,0.7777777777777778,0.21146874701751767
27,0.9643,1.0,0.9288782635358022,0.4378595024585005,1.6501495132559385,0.4999999999999999,0.669,0.36018824577331543,1.3302174806594849,0.2122460901737213,1.0,1.0,1.0,0.7819806390894661,1.5901024917955975,0.9,0.8888888888888888,0.2057206095354694
28,1.0,1.0,0.9288782635358022,0.44336791335812137,1.6350063251834333,0.5060000000000001,0.6839999999999999,0.29476219415664673,1.3239710330963135,0.2381230592727661,1.0,1.0,1.0,0.7819806390894661,1.5401620770416786,0.8666666666666667,0.6666666666666666,0.2214826140901582
