layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr,resid_len_auroc,len_frac
0,0.0,0.5,0.35527299712990723,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.26586134727739674,nan,0.5,0.5,0.0
1,0.0357,1.0,0.9288782635358022,0.5900153479297107,3.5710335647354183,0.529,0.7120000000000001,0.8438478708267212,1.9715842008590698,0.06830847263336182,1.0,0.7819806390894661,4.159617732317391,1.0,0.4444444444444444,0.0009738094676936789
2,0.0714,1.0,0.9288782635358022,0.6379073196940804,3.722316792697045,0.499,0.696,0.8037843704223633,1.9492274522781372,0.07954774051904678,1.0,0.7819806390894661,4.596361635921566,1.0,0.1111111111111111,0.13984210764435148
3,0.1071,1.0,0.9288782635358022,0.6608706956059855,4.483339369331398,0.4990000000000001,0.6850000000000002,0.823000431060791,1.9403393268585205,0.09322232007980347,1.0,0.7819806390894661,5.403877378205208,1.0,0.3333333333333333,0.14380047212784888
4,0.1429,1.0,0.9288782635358022,0.6863979323959051,4.6084019436365615,0.53,0.733,0.8172650337219238,1.9388930797576904,0.11771576851606369,1.0,0.7819806390894661,5.380722472489817,1.0,0.2222222222222222,0.16279751047062763
5,0.1786,1.0,0.9288782635358022,0.7113282109043579,5.185389273170925,0.526,0.7729999999999999,1.0357284545898438,1.9537403583526611,0.135784313082695,1.0,0.7819806390894661,4.664908797482935,1.0,0.3333333333333333,0.07995653377526478
6,0.2143,1.0,0.9288782635358022,0.6809183931421069,4.994609556917902,0.5020000000000001,0.685,1.0089144706726074,1.9373492002487183,0.11732085049152374,1.0,0.7819806390894661,4.514927276700241,1.0,0.4444444444444444,0.02446515211105583
7,0.25,1.0,0.9288782635358022,0.6998496725181644,5.080195227335808,0.54,0.709,0.924601137638092,1.9659806489944458,0.13185973465442657,1.0,0.7819806390894661,4.983362820762703,1.0,0.4444444444444444,0.0014452061637366463
8,0.2857,1.0,0.9288782635358022,0.6911467606338578,5.210977181503053,0.53,0.7390000000000001,1.0138918161392212,1.9582488536834717,0.13198307156562805,1.0,0.7819806390894661,5.189268493145772,1.0,0.3333333333333333,0.06877129532452761
9,0.3214,1.0,0.9288782635358022,0.7065320447392707,5.061400097766814,0.538,0.7540000000000001,0.936745285987854,1.989821434020996,0.15869063138961792,1.0,0.7819806390894661,6.53769539757476,1.0,0.3333333333333333,0.07396175969952165
10,0.3571,1.0,0.9288782635358022,0.6890292159235782,4.796850815530918,0.51,0.724,0.8524079918861389,1.9766390323638916,0.13622303307056427,1.0,0.7819806390894661,6.229774027461847,1.0,0.3333333333333333,0.007682796453247542
11,0.3929,1.0,0.9288782635358022,0.7046691439661723,4.918264507520165,0.5199999999999999,0.7289999999999999,1.0837987661361694,1.9613909721374512,0.14346995949745178,1.0,0.7819806390894661,6.205216226051301,1.0,0.3333333333333333,0.023168197935865824
12,0.4286,1.0,0.9288782635358022,0.6996421555106228,5.043577442770498,0.489,0.784,1.1235781908035278,1.9724894762039185,0.14155970513820648,1.0,0.7819806390894661,6.281798975490423,1.0,0.3333333333333333,0.0514805701158215
13,0.4643,1.0,0.9288782635358022,0.7051782488506505,4.9964623238690695,0.42700000000000016,0.793,1.1170132160186768,1.9652012586593628,0.1426599770784378,1.0,0.7819806390894661,6.624985960347863,1.0,0.1111111111111111,0.11532437316221532
14,0.5,1.0,0.9288782635358022,0.7530362676923407,4.954550444152881,0.509,0.7900000000000001,1.0058696269989014,1.99665105342865,0.1764162927865982,1.0,0.7819806390894661,5.857944008860733,1.0,0.1111111111111111,0.09463880516563856
15,0.5357,1.0,0.9288782635358022,0.7580514475979172,5.3245730707621455,0.473,0.7739999999999998,1.006377100944519,2.0625505447387695,0.1931287795305252,1.0,0.7819806390894661,7.565578602446534,1.0,0.2222222222222222,0.08102139572365274
16,0.5714,1.0,0.9288782635358022,0.7669684799483918,5.475286094446326,0.531,0.78,1.0349092483520508,2.0448050498962402,0.21031610667705536,1.0,0.7819806390894661,7.960848594142658,1.0,0.2222222222222222,0.07794442575851564
17,0.6071,1.0,0.9288782635358022,0.751411380284553,5.40036662748306,0.46799999999999997,0.791,1.1127687692642212,1.992035150527954,0.2322065681219101,1.0,0.7819806390894661,7.561045096970647,1.0,0.0,0.07860200037070421
18,0.6429,1.0,0.9288782635358022,0.7482120196340027,5.226011415493339,0.5549999999999999,0.749,1.1843711137771606,1.9697074890136719,0.2368224710226059,1.0,0.7819806390894661,7.237436040144738,1.0,0.2222222222222222,0.03581007442864271
19,0.6786,1.0,0.9288782635358022,0.7173879131797994,4.759386192837591,0.4880000000000001,0.7409999999999999,0.9873822927474976,1.9228743314743042,0.27810147404670715,1.0,0.7819806390894661,4.622516982794152,1.0,0.1111111111111111,0.05650854517373705
20,0.7143,1.0,0.9288782635358022,0.6990373372264196,4.952195470600625,0.506,0.8230000000000001,0.916631281375885,1.9471652507781982,0.3820341229438782,1.0,0.7819806390894661,4.198261325076163,1.0,0.4444444444444444,0.009567500227615905
21,0.75,1.0,0.9288782635358022,0.6711131342580617,4.817516614561217,0.4750000000000001,0.783,0.9457990527153015,1.8816461563110352,0.42192357778549194,1.0,0.7819806390894661,4.12791852792947,1.0,0.2222222222222222,0.015554286348852659
