layer,depth,lopo_auroc,lopo_ci_lo,lopo_ci_hi,lopo_wins,lopo_ties,n_train,lopo_sign_p,mean_paired_cos,lopo_cos_stability,cohens_dz_train,null_shuffled_auroc,null_random_dir_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm,norm_over_sigma,heldout_auroc,heldout_ci_lo,heldout_ci_hi,n_heldout,acc_at_train_thr,resid_len_auroc,n_length,len_frac
0,0.0,0.5,0.35527299712990723,0.6447270028700924,0,50,50,1.0,0.0,0.0,nan,0.5,0.5,0.5,nan,nan,0.0,0.0,0.5,0.26586134727739674,0.7873332704806919,15,0.5,0.5,9,0.0
1,0.0357,0.98,0.8935304542884996,0.9994937720169592,49,0,50,4.529709940470639e-14,0.5146848772964351,0.999451960849543,2.865395493719156,0.5260000000000001,0.5529999999999999,0.665,-0.1427244395017624,1.7552005052566528,0.574772834777832,0.05644676834344864,1.0,0.7819806390894661,1.0,15,0.9,0.1111111111111111,9,0.05723849133304903
2,0.0714,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5078009846748824,0.9994290516835597,3.1072652504074223,0.5010000000000001,0.48900000000000005,0.627,0.4172242283821106,1.6739799976348877,0.8414080739021301,0.05548496171832085,1.0,0.7819806390894661,1.0,15,0.9666666666666667,0.0,9,0.2077813953771038
3,0.1071,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5230371994069148,0.9994685278487716,3.541337858154976,0.495,0.5090000000000001,0.6290000000000001,0.888070821762085,1.7117550373077393,1.1381434202194214,0.0612378865480423,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.23474521986327126
4,0.1429,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5686204312011331,0.9995823784543846,3.705776903857094,0.525,0.529,0.685,0.8516380190849304,1.7223942279815674,1.5339760780334473,0.07855731248855591,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.25591385066030076
5,0.1786,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5975871946568969,0.99964674823039,3.5398632712938163,0.507,0.489,0.723,0.6581950187683105,1.7199475765228271,2.0960233211517334,0.09449068456888199,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.14710606455880829
6,0.2143,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5779742677539954,0.9996093603836981,3.2825160654674357,0.5290000000000001,0.61,0.7059999999999998,0.5244279503822327,1.8194352388381958,2.6081912517547607,0.08054275810718536,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.1833904758506047
7,0.25,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5926468950949996,0.999640907014026,3.284696929073897,0.517,0.5120000000000001,0.692,0.622542142868042,1.8925957679748535,2.908686876296997,0.09093063324689865,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.1226957046300533
8,0.2857,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.5996537217935426,0.9996519365764064,3.472875682317731,0.522,0.45199999999999996,0.6740000000000002,0.7227798700332642,1.9363051652908325,3.066162586212158,0.09165866672992706,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.14422166661932329
9,0.3214,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6427004130275035,0.9997220617186864,3.752424506902905,0.5090000000000001,0.4640000000000001,0.6680000000000001,0.8786322474479675,1.923837423324585,4.252386093139648,0.12244768440723419,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.12227086901855137
10,0.3571,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6484353193115341,0.9997336181265528,3.620951652019617,0.5269999999999999,0.473,0.767,0.7462389469146729,1.8730217218399048,4.63407564163208,0.11504526436328888,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.11500684080715853
11,0.3929,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6659268655910766,0.9997629156046264,3.3266850470879534,0.5090000000000001,0.43899999999999995,0.7569999999999999,0.6988897323608398,1.8468939065933228,5.192452430725098,0.11978749930858612,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.10576244471624241
12,0.4286,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.663896326305837,0.9997585805094785,3.403116955004315,0.487,0.479,0.771,0.7312657237052917,1.8488903045654297,5.468074321746826,0.1148993968963623,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.11712583870537531
13,0.4643,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6718338029520459,0.9997715520056036,3.298775878155635,0.386,0.51,0.72,0.640917181968689,1.928159475326538,5.547685146331787,0.11305749416351318,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.1575917676214191
14,0.5,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7464698042957079,0.9998489095353068,3.872171357686525,0.5210000000000001,0.5549999999999999,0.757,0.9209826588630676,2.017406702041626,8.445306777954102,0.14671732485294342,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.12011098161771167
15,0.5357,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7753887465665562,0.9998739331851609,3.8859000039714457,0.4760000000000001,0.623,0.843,1.0045044422149658,1.936952829360962,10.517333030700684,0.16889996826648712,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.1400515710129994
16,0.5714,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7763984745913655,0.9998743842382511,3.975948004899228,0.515,0.625,0.759,1.0421297550201416,1.9145698547363281,11.26266098022461,0.17892986536026,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.10854036333741182
17,0.6071,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7717629203064882,0.9998685785945064,4.212245598093237,0.45100000000000007,0.385,0.8149999999999998,1.072675108909607,1.944843053817749,12.430006980895996,0.19555802643299103,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.07165477189515301
18,0.6429,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7692191033226321,0.9998664058086384,4.242919562068842,0.543,0.488,0.782,1.1126643419265747,1.9390321969985962,13.634444236755371,0.1993311494588852,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.05741083805748232
19,0.6786,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7305682380600532,0.999825918169301,4.623292074726548,0.4560000000000001,0.496,0.7560000000000001,1.0192946195602417,1.9396722316741943,18.511985778808594,0.23937246203422546,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.055367362667849
20,0.7143,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7338401050150378,0.9998295789586416,4.738236323534822,0.496,0.696,0.834,1.1381891965866089,1.9299163818359375,27.194358825683594,0.33860957622528076,1.0,0.7819806390894661,1.0,15,1.0,0.4444444444444444,9,0.013246843886159812
21,0.75,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7235224637683274,0.9998192923776389,4.92982551091144,0.508,0.5990000000000001,0.7849999999999999,1.0966068506240845,1.9898450374603271,39.89563751220703,0.3971664607524872,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.026253379297432298
22,0.7857,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.7033506792900304,0.9997965575679703,4.987616660380725,0.515,0.516,0.738,1.0323508977890015,1.9638137817382812,51.29811096191406,0.4208495020866394,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.012864373138847045
23,0.8214,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6816954089243784,0.999769798516895,5.002710211977864,0.5270000000000001,0.519,0.6950000000000001,0.9752941131591797,1.940650463104248,67.34880065917969,0.43551644682884216,1.0,0.7819806390894661,1.0,15,1.0,0.3333333333333333,9,0.030661896201703388
24,0.8571,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6719068582894764,0.9997568075478078,4.985996573324294,0.475,0.4760000000000001,0.67,1.0126043558120728,1.9257134199142456,79.06156158447266,0.44179007411003113,1.0,0.7819806390894661,1.0,15,1.0,0.2222222222222222,9,0.030153271194001085
25,0.8929,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6592358736358623,0.9997384409819797,5.093116012391027,0.506,0.608,0.702,0.9241836667060852,1.948363184928894,98.31548309326172,0.4300502836704254,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.05510269912607944
26,0.9286,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6455023786950054,0.9997170315776852,5.09793884573783,0.526,0.4,0.788,0.9426243305206299,1.9647780656814575,119.09683990478516,0.42194607853889465,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.04298915783501187
27,0.9643,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6274311290182821,0.9996878829064222,5.013607360186267,0.508,0.5269999999999999,0.673,0.9266998171806335,1.960095763206482,141.9121551513672,0.3753797113895416,1.0,0.7819806390894661,1.0,15,1.0,0.0,9,0.06371336468012924
28,1.0,1.0,0.9288782635358022,1.0,50,0,50,8.881784197001252e-16,0.6635512849084471,0.9997438350065145,5.4178388622162945,0.4539999999999999,0.588,0.75,1.087127447128296,1.9583855867385864,155.3018341064453,0.5274930596351624,1.0,0.7819806390894661,1.0,15,1.0,0.1111111111111111,9,0.11814609785339841
