probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval_v2,all,all,1009,76.87885949531143,0.0,99.30624380574827,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,all,all,1009,63.96127163223297,0.0,99.30624380574827,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,all,all,1009,76.6867423953648,0.0,98.61248761149653,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,all,all,1009,36.625752839826184,0.0,95.14370664023787,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Disinformation,55,78.88111888111888,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Disinformation,55,69.34265734265733,0.0,96.36363636363636,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Disinformation,55,72.64335664335664,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Disinformation,55,22.377622377622373,0.0,96.36363636363636,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Economic harm,65,71.40828402366864,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Economic harm,65,83.6923076923077,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Economic harm,65,67.50295857988165,0.0,96.92307692307692,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Economic harm,65,22.177514792899405,0.0,96.92307692307692,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Expert advice,62,74.46650124069478,0.0,98.38709677419355,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Expert advice,62,75.08684863523573,0.0,98.38709677419355,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Expert advice,62,70.49627791563275,0.0,98.38709677419355,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Expert advice,62,23.275434243176175,0.0,93.54838709677419,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Fraud/Deception,83,75.12511584800741,0.0,97.59036144578313,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Fraud/Deception,83,76.9230769230769,0.0,98.79518072289157,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Fraud/Deception,83,70.76923076923077,0.0,98.79518072289157,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Fraud/Deception,83,24.819277108433734,0.0,93.97590361445783,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Government decision-making,80,74.53846153846153,0.0,97.5,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Government decision-making,80,78.9423076923077,0.0,97.5,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Government decision-making,80,73.96153846153847,0.0,98.75,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Government decision-making,80,16.96153846153846,0.0,81.25,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Harassment/Discrimination,63,77.68009768009767,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Harassment/Discrimination,63,85.76312576312576,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Harassment/Discrimination,63,65.51892551892553,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Harassment/Discrimination,63,29.79242979242979,0.0,95.23809523809524,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Malware/Hacking,64,77.33173076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Malware/Hacking,64,80.7451923076923,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Malware/Hacking,64,58.46153846153846,0.0,96.875,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Malware/Hacking,64,21.995192307692307,0.0,98.4375,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Physical harm,63,79.53601953601954,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Physical harm,63,83.32112332112331,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Physical harm,63,77.14285714285715,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Physical harm,63,21.001221001221,0.0,88.88888888888889,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Privacy,80,80.32692307692308,0.0,98.75,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Privacy,80,77.67307692307692,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Privacy,80,69.28846153846153,0.0,97.5,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Privacy,80,23.942307692307693,0.0,95.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,category,Sexual/Adult content,37,77.92099792099792,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,category,Sexual/Adult content,37,87.35966735966736,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,category,Sexual/Adult content,37,73.22245322245321,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,category,Sexual/Adult content,37,27.85862785862786,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,family,fiction_narrative,472,77.19687092568448,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,family,fiction_narrative,472,44.97392438070405,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,family,fiction_narrative,472,86.58083441981746,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,family,fiction_narrative,472,51.94589308996089,0.0,98.09322033898304,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,family,hybrid,153,81.06586224233284,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,family,hybrid,153,83.79084967320262,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,family,hybrid,153,74.82151835093012,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,family,hybrid,153,28.446455505279033,0.0,97.38562091503267,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,family,nonfiction_other,78,68.69822485207101,0.0,97.43589743589743,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,family,nonfiction_other,78,65.54240631163708,0.0,93.58974358974359,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,family,nonfiction_other,78,54.28007889546351,0.0,97.43589743589743,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,family,nonfiction_other,78,15.04930966469428,0.0,91.02564102564102,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,family,roleplay_persona,306,76.38009049773754,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,family,roleplay_persona,306,82.93112116641527,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,family,roleplay_persona,306,68.06938159879336,0.0,99.01960784313725,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,family,roleplay_persona,306,22.584213172448464,0.0,91.17647058823529,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,deep_inception,57,49.959514170040485,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,deep_inception,57,43.049932523616725,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,deep_inception,57,79.29824561403508,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,deep_inception,57,29.608636977058026,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,in_the_wild,400,83.8423076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,in_the_wild,400,89.63846153846154,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,in_the_wild,400,72.83461538461539,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,in_the_wild,400,24.08076923076923,0.0,93.75,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,jailbreak_mimicry,300,82.54871794871795,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,jailbreak_mimicry,300,34.02564102564102,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,jailbreak_mimicry,300,91.1025641025641,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,jailbreak_mimicry,300,67.27179487179487,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,jbb_jbc,32,85.24038461538461,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,jbb_jbc,32,80.33653846153847,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,jbb_jbc,32,59.51923076923077,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,jbb_jbc,32,23.798076923076923,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,jbb_pair,84,36.24542124542125,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,jbb_pair,84,53.07692307692308,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,jbb_pair,84,77.21611721611723,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,jbb_pair,84,24.50549450549451,0.0,94.04761904761905,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,source,strongreject,136,78.30316742081449,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,source,strongreject,136,66.10859728506787,0.0,96.32352941176471,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,source,strongreject,136,58.83484162895928,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,source,strongreject,136,19.36651583710407,0.0,94.8529411764706,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,aim,32,85.24038461538461,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,aim,32,80.33653846153847,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
