probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval_v2,all,all,1009,75.33593011731625,0.0,97.02675916749257,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,all,all,1009,45.17712678913038,0.0,99.20713577799802,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,all,all,1009,79.60679466199552,0.0,94.64816650148661,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,all,all,1009,23.76057344365824,0.0,95.44103072348861,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,category,Disinformation,55,74.08033826638479,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,category,Disinformation,55,40.25369978858351,0.0,96.36363636363636,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,category,Disinformation,55,79.66173361522199,0.0,100.0,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,category,Disinformation,55,13.82663847780127,0.0,92.72727272727273,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,category,Economic harm,65,64.00715563506262,0.0,92.3076923076923,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,category,Economic harm,65,60.21466905187835,0.0,98.46153846153847,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,category,Economic harm,65,69.37388193202146,0.0,95.38461538461539,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,category,Economic harm,65,13.774597495527729,0.0,96.92307692307692,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,category,Expert advice,62,70.66766691672919,0.0,95.16129032258064,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,category,Expert advice,62,45.948987246811704,0.0,98.38709677419355,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,category,Expert advice,62,72.16804201050262,0.0,93.54838709677419,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,category,Expert advice,62,20.667666916729182,0.0,93.54838709677419,43,0,42,0.9593953488372092,0.053744186046511634,nan
