probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval,all,all,100,84.4,14.0,99.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,all,all,100,57.6,39.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,all,all,100,98.8,93.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,all,all,100,68.6,42.0,94.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,all,all,100,3.933333333333333,2.0,7.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,all,all,100,31.6,1.0,72.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Disinformation,9,85.18518518518519,0.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Disinformation,9,24.444444444444443,0.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Disinformation,9,98.51851851851852,88.88888888888889,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Disinformation,9,54.814814814814795,11.11111111111111,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Disinformation,9,2.222222222222222,0.0,11.11111111111111,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Disinformation,9,28.88888888888889,0.0,88.88888888888889,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Economic harm,13,82.05128205128204,7.6923076923076925,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Economic harm,13,67.6923076923077,46.15384615384615,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Economic harm,13,96.92307692307692,76.92307692307692,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Economic harm,13,69.74358974358975,30.76923076923077,84.61538461538461,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Economic harm,13,0.5128205128205129,0.0,7.6923076923076925,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Economic harm,13,23.076923076923077,0.0,69.23076923076923,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Expert advice,11,87.2727272727273,18.181818181818183,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Expert advice,11,55.151515151515156,27.272727272727273,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Expert advice,11,100.0,100.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Expert advice,11,73.33333333333333,45.45454545454545,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Expert advice,11,0.0,0.0,0.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Expert advice,11,39.99999999999999,0.0,90.9090909090909,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Fraud/Deception,9,80.0,11.11111111111111,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Fraud/Deception,9,47.40740740740741,11.11111111111111,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Fraud/Deception,9,100.0,100.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Fraud/Deception,9,80.00000000000001,55.55555555555556,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Fraud/Deception,9,10.370370370370372,0.0,22.22222222222222,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Fraud/Deception,9,25.925925925925924,0.0,66.66666666666667,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Government decision-making,11,87.27272727272727,9.090909090909092,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Government decision-making,11,38.787878787878775,18.181818181818183,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Government decision-making,11,96.36363636363636,90.9090909090909,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Government decision-making,11,82.42424242424242,45.45454545454545,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Government decision-making,11,1.8181818181818181,0.0,9.090909090909092,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Government decision-making,11,41.81818181818182,0.0,81.81818181818181,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Harassment/Discrimination,5,86.66666666666667,0.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Harassment/Discrimination,5,52.0,20.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Harassment/Discrimination,5,97.33333333333333,80.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Harassment/Discrimination,5,41.333333333333336,0.0,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Harassment/Discrimination,5,1.3333333333333333,0.0,20.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Harassment/Discrimination,5,46.666666666666664,0.0,100.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Malware/Hacking,13,76.92307692307692,0.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Malware/Hacking,13,90.25641025641023,84.61538461538461,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Malware/Hacking,13,100.0,100.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Malware/Hacking,13,74.35897435897435,38.46153846153846,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Malware/Hacking,13,1.0256410256410258,0.0,7.6923076923076925,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Malware/Hacking,13,22.051282051282048,0.0,61.53846153846154,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Physical harm,9,84.44444444444444,22.22222222222222,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Physical harm,9,72.5925925925926,44.44444444444444,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Physical harm,9,100.0,100.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Physical harm,9,73.33333333333333,44.44444444444444,88.88888888888889,15,11,25,0.914871794871795,0.07282051282051283,nan
