direction,layers_spec,success_mode,restore_d_refused_vs_noop,restore_d_refused_vs_random,restore_degenerate_pct,refusal_mode,induce_d_sr_vs_noop,induce_d_sr_vs_random,induce_degenerate_pct
eval,14,add,50.0,,20.0,ablate,0.0654,,1.6
eval,15,add,16.6,,26.7,ablate,0.0325,,3.1
eval,16,add,33.3,,26.7,ablate,0.0063,,3.1
eval,steer_band,add,-6.7,,90.0,ablate,0.0193,-0.0117,0.0
harm,20,add,63.3,,20.0,ablate,0.146,,4.7
harm,21,add,63.3,,20.0,ablate,0.0912,,1.6
harm,22,add,53.3,,30.0,ablate,0.0734,,1.6
harm,steer_band,add,-6.7,,90.0,ablate,0.0508,0.0198,6.2
persona,17,ablate,10.0,,3.3,add,0.1064,,28.1
persona,19,ablate,3.3,,3.3,add,-0.0159,,54.7
persona,21,ablate,-6.7,,6.7,add,-0.0159,,43.8
persona,steer_band,cap,-3.4,,10.0,add,-0.0159,,64.1
story_v1,15,ablate,-6.7,,3.3,add,-0.0159,,3.1
story_v1,16,ablate,-6.7,,6.7,add,-0.0159,,3.1
story_v1,20,ablate,-3.4,,6.7,add,0.0008,,6.2
story_v1,steer_band,cap,0.0,,3.3,add,-0.0159,,64.1
story_v2,15,ablate,3.3,,0.0,add,-0.01,,0.0
story_v2,17,ablate,6.6,,6.7,add,-0.0119,,3.1
story_v2,18,ablate,3.3,,0.0,add,-0.0159,,1.6
story_v2,steer_band,cap,-6.7,,3.3,add,-0.0159,,64.1
